Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
bergamia cosmeticos;BRL;90;-29%;-64%;Alto;100;1,07;6,43;;;;;;140;110;70;70;50;50;110;90;70;70;110;50
bergamia loja;BRL;10;0%;-100%;Desconhecido;;;;;;;;;40;30;10;10;10;10;10;10;10;0;10;0
bergamia produtos;BRL;50;-43%;-20%;Alto;100;1,24;4,56;;;;;;50;30;50;40;10;30;50;90;50;70;50;40
argila verde facial;BRL;170;0%;-72%;Alto;100;0,49;2,51;;;;;;260;260;210;210;170;170;210;110;110;110;90;110
argila facial verde;BRL;50;33%;-20%;Alto;100;0,35;3,13;;;;;;70;70;70;50;20;40;70;50;40;30;50;40
argila facial;BRL;1900;-16%;-33%;Alto;100;0,38;2,24;;;;;;1900;1900;1600;1600;1600;2400;2400;1900;1600;1900;1900;1600
máscara facial argila verde;BRL;170;-18%;-46%;Alto;100;0,36;2,33;;;;;;210;210;170;170;170;210;210;170;170;170;110;140
máscara facial de argila verde;BRL;110;-36%;-57%;Alto;100;0,33;0,92;;;;;;140;140;140;140;110;170;140;110;90;140;90;90
máscara de argila verde;BRL;4400;0%;-45%;Alto;100;0,36;1,66;;;;;;5400;5400;5400;5400;4400;5400;5400;4400;4400;3600;3600;3600
mascara facial com argila;BRL;70;0%;-43%;Alto;100;0,38;2,42;;;;;;140;90;90;70;90;110;90;70;70;40;50;40
creme argila verde;BRL;30;50%;-25%;Alto;100;0,33;1,01;;;;;;40;30;30;20;30;30;40;20;10;20;20;30
