Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
bhava biocosméticos;BRL;170;-19%;-19%;Alto;98;1,24;3,52;;;;;;210;210;140;170;140;170;210;210;210;210;210;170
óleos essenciais;BRL;60500;-18%;-33%;Alto;100;0,54;1,53;;;;;;74000;60500;60500;60500;60500;74000;74000;74000;60500;60500;60500;49500
óleo essencial;BRL;60500;0%;-18%;Alto;100;0,51;1,3;;;;;;49500;49500;49500;49500;49500;60500;60500;60500;60500;49500;60500;49500
oleo essencial;BRL;60500;0%;-18%;Alto;100;0,51;1,3;;;;;;49500;49500;49500;49500;49500;60500;60500;60500;60500;49500;60500;49500
óleos;BRL;74000;0%;-18%;Médio;63;0,8;4,03;;;;;;74000;74000;60500;60500;60500;74000;74000;90500;90500;74000;74000;74000
oleo de essencial;BRL;70;0%;750%;Alto;100;0,47;1,25;;;;;;20;10;20;30;30;40;40;50;70;170;170;170
oleos essenciais;BRL;60500;-18%;-33%;Alto;100;0,54;1,53;;;;;;74000;60500;60500;60500;60500;74000;74000;74000;60500;60500;60500;49500
quais os óleos essenciais;BRL;40;33%;0%;Alto;100;0,31;0,89;;;;;;30;40;40;40;50;50;30;40;50;30;40;40
óleo essencial orgânico;BRL;260;-46%;-46%;Alto;100;0,51;1,97;;;;;;260;210;210;260;210;320;320;260;210;260;210;140
óleos aromáticos;BRL;50;67%;-44%;Alto;100;0,49;1,7;;;;;;30;50;70;50;50;70;40;50;50;30;50;50
óleo essencial natural;BRL;140;-18%;-33%;Alto;100;0,49;1,54;;;;;;170;140;110;110;90;170;170;140;170;170;140;140
óleos essencial;BRL;2400;0%;-33%;Alto;100;0,54;1,51;;;;;;2900;2400;1900;2400;2400;2900;2900;2900;2400;2400;2900;2400
óleos essenciais certificados;BRL;90;0%;0%;Alto;100;0,63;1,59;;;;;;50;90;90;90;110;210;90;140;70;90;50;90
óleos essenciais aromaterapia;BRL;880;0%;-45%;Alto;100;0,5;1,52;;;;;;720;880;720;880;880;880;1000;880;880;720;590;720
óleo essencial de;BRL;170;0%;-19%;Alto;100;0,55;1,5;;;;;;170;140;170;170;140;210;210;210;140;170;260;170
aromaterapia óleos essenciais;BRL;880;-34%;-61%;Alto;100;0,44;1,22;;;;;;1000;1300;1000;1000;1000;1000;880;880;720;590;720;390
óleos essenciais para aromaterapia;BRL;170;0%;0%;Alto;100;0,46;1,22;;;;;;210;210;110;140;170;170;210;170;170;170;210;170
qual oleo essencial;BRL;70;0%;0%;Alto;99;0,28;0,9;;;;;;70;70;50;50;50;50;70;90;90;70;70;70
óleos essenciais orgânicos;BRL;40;-71%;-60%;Alto;100;0,44;2,43;;;;;;70;30;30;30;40;70;50;50;20;70;20;20
essencial oleo;BRL;70;-29%;-44%;Alto;100;0,56;1,77;;;;;;70;70;50;70;40;70;70;50;70;70;70;50
óleo essencial para;BRL;110;-21%;0%;Alto;98;0,52;4,83;;;;;;90;90;110;110;90;110;110;140;110;140;140;110
oleos essenciais organicos;BRL;110;-22%;-59%;Alto;100;0,66;2,6;;;;;;110;110;90;110;110;140;140;140;140;90;70;70
óleos para aromaterapia;BRL;320;-19%;-33%;Alto;100;0,5;1,25;;;;;;320;260;260;320;260;390;390;390;260;320;390;260
óleos essenciais preço;BRL;320;-19%;-56%;Alto;100;0,45;1,16;;;;;;590;480;320;390;320;390;320;260;320;260;210;210
óleo essencial puro;BRL;390;0%;-19%;Alto;100;0,48;1,28;;;;;;390;390;320;390;320;480;480;480;480;390;480;390
os oleos essenciais;BRL;70;40%;-22%;Alto;87;0,46;1,4;;;;;;70;90;50;40;40;50;70;110;90;50;50;70
lojas de óleos essenciais;BRL;480;0%;-45%;Alto;100;0,58;1,62;;;;;;590;590;480;480;480;480;480;590;480;480;590;480
oleos naturais;BRL;720;-18%;-33%;Alto;100;0,42;1,13;;;;;;720;880;720;880;720;880;880;880;720;720;720;590
tipos oleos essenciais;BRL;30;50%;0%;Alto;100;0,26;0,9;;;;;;20;30;30;30;20;30;30;30;30;20;20;30
óleos aromaterapia;BRL;260;23%;23%;Alto;100;0,51;1,34;;;;;;210;210;210;170;170;260;320;320;320;260;320;320
sobre oleos essenciais;BRL;50;-29%;-29%;Alto;100;0,34;1,07;;;;;;90;40;50;40;30;70;70;70;70;70;70;50
óleo essencial aromaterapia;BRL;320;-19%;-33%;Alto;100;0,52;1,27;;;;;;260;320;320;320;320;390;480;390;320;320;480;260
aromaterapia oleo essencial;BRL;30;50%;-25%;Alto;100;0,28;1,35;;;;;;40;30;40;50;40;40;50;40;30;20;20;30
oleos e essencias;BRL;50;0%;-20%;Alto;100;0,6;1,41;;;;;;50;40;30;50;40;50;50;70;50;40;40;40
0leos essenciais;BRL;20;-50%;-67%;Alto;100;;;;;;;;20;10;20;20;20;50;50;40;30;20;10;10
óleos essenciais baratos;BRL;90;-44%;-64%;Alto;100;0,48;0,97;;;;;;90;70;70;90;90;110;90;90;70;90;70;50
oleo de essencia;BRL;590;-19%;-46%;Alto;100;0,48;1,05;;;;;;720;590;590;590;590;720;720;720;590;480;480;390
preço de oleos essenciais;BRL;140;-21%;-21%;Alto;100;0,42;0,82;;;;;;140;110;140;140;110;170;170;140;110;140;110;110
melhor óleo essencial;BRL;390;-19%;0%;Alto;100;0,39;1,27;;;;;;320;320;320;320;320;480;480;480;480;480;480;390
óleos essenciais puros;BRL;320;-19%;-64%;Alto;100;0,55;1,4;;;;;;390;390;260;320;210;320;320;320;320;260;260;210
aromaterapia oleos essenciais;BRL;880;-34%;-61%;Alto;100;0,44;1,22;;;;;;1000;1300;1000;1000;1000;1000;880;880;720;590;720;390
oleosessenciais;BRL;60500;-18%;-33%;Alto;100;0,54;1,53;;;;;;74000;60500;60500;60500;60500;74000;74000;74000;60500;60500;60500;49500
óleos essenciais comprar;BRL;720;-19%;-52%;Alto;100;0,71;2,69;;;;;;880;880;720;880;880;1000;880;720;590;590;480;480
óleo essencial preço;BRL;260;-19%;-46%;Alto;100;0,44;0,95;;;;;;390;320;260;390;210;260;320;260;320;260;260;210
comprar óleos essenciais;BRL;720;0%;-55%;Alto;100;0,79;2,56;;;;;;1000;880;720;880;720;1000;880;720;720;590;590;590
oleos essenciais loja;BRL;40;67%;-29%;Alto;100;0,67;2,18;;;;;;40;90;50;40;30;50;20;40;40;30;30;50
qual o melhor óleo essencial;BRL;210;0%;24%;Alto;100;0,33;0,83;;;;;;210;170;170;170;210;260;260;320;210;210;260;210
oleos essenciais quais os melhores;BRL;30;-33%;-50%;Alto;100;0,33;1,38;;;;;;30;30;20;40;30;30;50;40;50;30;40;20
oleo essencial para aromaterapia;BRL;90;-22%;0%;Alto;100;0,5;1,2;;;;;;70;90;90;70;70;110;110;110;70;90;90;70
loja oleos essenciais;BRL;140;0%;-19%;Alto;98;0,79;2,56;;;;;;170;170;140;140;110;110;170;170;140;170;110;170
preço de oleo essencial;BRL;50;-29%;-29%;Alto;100;0,37;0,8;;;;;;50;50;40;40;40;40;50;50;40;70;40;50
aromaterapia com oleos essenciais;BRL;50;40%;75%;Alto;93;0,39;1,38;;;;;;70;50;30;50;40;50;70;50;50;50;70;70
preço oleo essencial;BRL;70;0%;-55%;Alto;100;0,39;0,8;;;;;;70;70;70;70;50;70;70;90;70;50;50;50
qual melhor oleo essencial;BRL;140;-18%;27%;Alto;100;0,38;0,91;;;;;;110;90;70;140;110;210;170;210;210;170;170;140
oleo essencial loja;BRL;30;-33%;-60%;Alto;100;0,72;2;;;;;;50;40;30;40;20;10;40;30;30;30;10;20
loja oleo essencial;BRL;50;0%;-57%;Alto;100;0,62;2,03;;;;;;70;50;70;50;70;40;40;50;40;30;70;30
aromaterapia oleos;BRL;50;125%;80%;Alto;100;0,54;1,59;;;;;;40;30;70;50;50;90;70;30;30;40;40;90
comprar oleo essencial;BRL;480;0%;-34%;Alto;100;0,84;2,56;;;;;;480;390;390;480;390;590;590;480;480;390;390;390
essencias aromaterapia;BRL;110;-18%;-36%;Alto;100;0,49;1,53;;;;;;140;110;140;110;90;110;170;140;140;110;110;90
oleo de aromaterapia;BRL;70;-22%;40%;Alto;100;0,48;1,75;;;;;;30;40;50;50;50;50;70;70;90;90;110;70
oleo essencial barato;BRL;110;-44%;-64%;Alto;100;0,47;1,1;;;;;;140;90;110;110;90;140;140;110;110;90;90;50
óleo essencial comprar;BRL;390;-35%;-71%;Alto;100;0,92;2,89;;;;;;480;480;390;480;390;480;590;480;260;260;210;170
melhores óleos essenciais;BRL;320;-18%;23%;Alto;100;0,4;1,48;;;;;;260;210;170;210;170;260;260;390;480;390;480;320
oleo essencial terapeutico;BRL;70;40%;40%;Alto;100;0,42;1,16;;;;;;50;70;70;70;40;90;70;90;90;50;70;70
venda oleos essenciais;BRL;70;33%;-64%;Alto;100;0,75;2,53;;;;;;90;70;50;70;90;90;70;70;40;30;40;40
loja de oleo essencial;BRL;90;0%;0%;Alto;100;0,79;2,11;;;;;;90;90;70;70;70;70;110;90;90;90;90;90
oleos essenciais tipos;BRL;110;0%;-36%;Alto;98;0,24;0,8;;;;;;140;110;70;90;90;110;110;110;110;90;110;90
essencias para aromaterapia;BRL;50;0%;-40%;Alto;100;0,51;1,02;;;;;;70;40;70;70;110;90;70;50;40;30;20;30
aromaterapia e oleos essenciais;BRL;50;33%;-43%;Alto;100;0,39;1,1;;;;;;40;70;70;70;40;90;70;70;40;30;50;40
oleos essenciais marcas;BRL;210;21%;-35%;Alto;100;0,45;1,53;;;;;;170;210;140;170;210;260;210;260;170;140;170;170
site de oleos essenciais;BRL;40;0%;0%;Alto;100;0,65;1,98;;;;;;30;40;20;40;40;50;50;40;20;40;40;40
