Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
loja boni natural;BRL;90;-18%;29%;Alto;100;0,91;3,93;;;;;;90;90;30;90;70;90;90;110;140;110;90;90
boninatural;BRL;4400;0%;0%;Alto;100;0,88;3,35;;;;;;3600;4400;3600;3600;3600;3600;6600;5400;4400;4400;4400;4400
boni produtos naturais;BRL;30;0%;-25%;Alto;100;0,94;3,98;;;;;;40;30;30;30;20;30;50;50;20;30;50;30
natural boni;BRL;30;67%;150%;Alto;100;0,73;2,24;;;;;;30;30;20;30;30;30;40;30;40;30;40;50
boni natural é vegano;BRL;20;0%;0%;Médio;62;;;;;;;;10;10;20;10;10;10;30;30;30;10;10;10
produtos boni natural;BRL;70;-29%;-29%;Alto;100;0,57;2,06;;;;;;70;40;40;70;50;70;70;70;90;70;50;50
boni brasil;BRL;90;-22%;-67%;Alto;100;0,74;3,11;;;;;;210;90;90;90;90;70;90;110;90;90;90;70
produtos boni;BRL;30;-25%;-25%;Alto;100;0,62;1,9;;;;;;30;30;20;30;30;20;30;30;40;40;30;30
linha boni natural;BRL;30;0%;50%;Alto;100;0,63;2,25;;;;;;10;20;50;30;40;20;30;20;30;30;30;30
creme boni natural;BRL;20;0%;-33%;Alto;100;0,39;2,36;;;;;;20;30;20;30;10;10;20;30;20;20;10;20
boni pasta de dente;BRL;90;0%;29%;Alto;100;0,57;2,65;;;;;;90;90;70;90;70;70;140;110;90;90;90;90
creme dental boni natural;BRL;1000;-12%;-12%;Alto;100;1,03;5,33;;;;;;1000;880;880;880;880;1000;1000;1000;1000;1000;1000;880
boni creme dental;BRL;90;0%;29%;Alto;100;0,87;4,8;;;;;;70;70;90;70;70;70;90;90;70;90;110;90
boni natural creme dental;BRL;390;-33%;0%;Alto;100;1,04;5,34;;;;;;260;260;260;260;260;390;480;590;320;390;390;260
pasta de dente boni natural;BRL;480;0%;50%;Alto;100;0,97;5,34;;;;;;390;390;320;390;320;390;720;720;390;480;480;480
creme dental boni natural menta e melaleuca 90g;BRL;90;21%;467%;Alto;100;1,03;5,37;;;;;;30;40;50;20;50;40;70;90;170;140;140;170
boni natural pasta de dente;BRL;320;-33%;53%;Alto;100;0,92;5,36;;;;;;260;170;170;210;170;260;590;480;480;390;320;260
creme dental boni natural frete grátis;BRL;90;0%;-44%;Alto;100;1,24;5,33;;;;;;90;140;140;140;90;70;50;30;50;50;50;50
pasta de dente boni;BRL;110;-36%;-18%;Alto;100;0,7;3,98;;;;;;110;90;110;90;90;110;140;110;90;140;110;90
creme dental boni;BRL;210;0%;0%;Alto;100;0,75;3,01;;;;;;170;260;210;210;210;210;260;260;170;260;210;260
creme dental boni natural preço;BRL;50;25%;25%;Alto;100;0,65;2,11;;;;;;110;50;30;50;40;50;70;50;70;40;50;50
pasta de dente boni natural preço;BRL;30;33%;100%;Alto;100;0,64;2,28;;;;;;10;20;30;30;30;40;50;30;20;30;50;40
pasta dental boni natural;BRL;70;0%;40%;Alto;100;0,7;3,86;;;;;;70;70;70;70;40;50;70;70;70;70;50;70
creme dental boni natural composição;BRL;20;-50%;-50%;Alto;100;0,6;5,35;;;;;;40;20;20;20;10;20;10;10;20;20;30;10
pasta boni;BRL;20;33%;33%;Alto;100;0,64;3,13;;;;;;10;30;20;30;20;20;20;40;20;30;20;40
pasta dente boni natural;BRL;30;67%;150%;Alto;100;0,8;5,4;;;;;;20;10;30;30;20;40;40;50;30;30;30;50
pasta boni natural;BRL;170;24%;50%;Alto;100;0,61;4,02;;;;;;140;140;140;110;110;170;260;210;210;170;210;210
creme dental boni natural e bom;BRL;20;0%;100%;Alto;100;0,8;5,37;;;;;;20;20;10;10;10;10;10;20;30;20;30;20
loja boni;BRL;110;0%;0%;Alto;71;0,78;3,15;;;;;;110;90;140;110;110;110;170;140;140;110;110;110
creme dental boni natural é bom;BRL;10;0%;-67%;Alto;100;0,68;5,3;;;;;;30;10;20;10;10;20;20;10;10;10;10;10
escova de dente boni natural;BRL;30;-67%;-86%;Alto;90;0,65;5,2;;;;;;40;30;20;40;20;40;40;70;40;30;30;10
boni natural enxaguante;BRL;70;-29%;-29%;Alto;100;0,74;5,12;;;;;;70;70;40;50;30;70;90;70;50;70;70;50
creme dental menta e melaleuca;BRL;70;-44%;67%;Alto;100;0,94;5,01;;;;;;50;40;50;30;50;70;50;90;90;90;70;50
creme dental boni natural carvão;BRL;30;-57%;∞;Alto;100;0,77;5,34;;;;;;0;0;0;0;40;70;70;50;40;70;70;30
escova boni natural;BRL;40;67%;-44%;Alto;100;0,46;1,69;;;;;;50;50;50;30;40;50;70;40;40;30;30;50
enxaguante boni natural;BRL;70;29%;29%;Alto;100;0,72;5,2;;;;;;70;40;70;40;50;50;70;90;90;70;90;90
boni natural escova de dente;BRL;30;33%;100%;Alto;100;0,57;4,62;;;;;;10;20;20;20;20;40;50;30;40;30;20;40
creme dental de melaleuca;BRL;320;-32%;∞;Alto;100;0,61;2,49;;;;;;0;0;0;0;0;0;70;210;1000;1300;720;880
pasta de dente de melaleuca;BRL;30;-36%;∞;Alto;99;0,6;2,49;;;;;;0;0;0;0;0;0;0;0;90;140;70;90
pasta de dente boni natural resenha;BRL;20;-40%;∞;Alto;100;1,36;5,33;;;;;;0;0;0;0;40;30;40;40;30;50;30;30
pasta de dente melaleuca;BRL;70;-18%;600%;Alto;100;0,55;2,4;;;;;;30;30;20;40;30;30;50;90;140;170;170;140
shampoo boni natural;BRL;320;-18%;0%;Alto;100;0,68;3,72;;;;;;390;260;260;390;320;320;320;390;480;390;320;320
enxaguante bucal boni natural;BRL;50;0%;0%;Alto;100;0,69;5,02;;;;;;30;20;30;50;30;50;90;70;50;50;50;50
enxaguante bucal boni;BRL;40;0%;33%;Alto;100;0,6;5,18;;;;;;30;50;40;20;40;30;70;50;50;40;40;40
desodorante boni natural;BRL;880;48%;48%;Alto;100;0,72;2,85;;;;;;880;880;720;1000;880;1000;1000;1000;880;880;1000;1300
pasta de dente com melaleuca;BRL;50;0%;125%;Alto;100;0,61;3,71;;;;;;40;30;10;30;20;30;20;20;70;90;90;90
creme dental sem menta;BRL;90;0%;22%;Alto;100;0,9;4,98;;;;;;70;90;70;90;90;110;110;110;90;110;110;110
boni shampoo;BRL;50;25%;25%;Alto;100;0,55;4,05;;;;;;30;50;40;40;20;50;50;70;50;40;50;50
pasta de dente menta;BRL;70;-22%;75%;Alto;100;1,05;5,03;;;;;;50;40;40;40;40;90;70;70;50;90;70;70
shampoo boni;BRL;90;22%;57%;Alto;100;0,57;3,52;;;;;;70;70;70;50;70;90;70;90;70;90;110;110
desodorante natural boni;BRL;90;29%;29%;Alto;100;0,62;2,67;;;;;;90;50;70;70;70;90;70;140;90;70;70;90
creme dental sem triclosan;BRL;20;-80%;-50%;Alto;100;0,88;3,71;;;;;;20;10;10;10;30;10;30;20;70;50;30;10
pasta de dente de menta;BRL;40;33%;33%;Alto;95;2,1;5,73;;;;;;40;40;20;30;50;50;50;50;50;30;40;40
boni natural shampoo;BRL;170;-19%;0%;Alto;100;0,6;4,07;;;;;;170;110;140;170;140;140;210;260;170;210;210;170
escova de bambu boni natural;BRL;40;0%;-20%;Alto;100;0,92;3,12;;;;;;20;30;30;30;20;40;50;70;30;40;20;40
boni natural desodorante;BRL;590;22%;22%;Alto;100;0,75;3,31;;;;;;590;590;480;720;590;590;590;720;590;590;590;720
creme dental sem flúor;BRL;5400;0%;0%;Alto;100;0,75;2,8;;;;;;5400;4400;4400;4400;4400;5400;5400;5400;5400;5400;6600;5400
creme dental natural;BRL;880;0%;0%;Alto;100;0,76;5,37;;;;;;1000;880;720;880;880;880;1000;1000;880;1000;880;1000
pasta dental sem flúor;BRL;480;0%;0%;Alto;100;0,33;2,77;;;;;;590;480;480;480;480;480;390;480;480;480;590;480
creme dental natural sem fluor;BRL;20;100%;-33%;Alto;100;1,26;5,33;;;;;;10;20;20;20;10;20;20;40;20;10;20;20
creme dental sem fluor;BRL;5400;0%;0%;Alto;100;0,75;2,8;;;;;;5400;4400;4400;4400;4400;5400;5400;5400;5400;5400;6600;5400
pasta dental sem fluor;BRL;480;0%;0%;Alto;100;0,33;2,77;;;;;;590;480;480;480;480;480;390;480;480;480;590;480
sabonete boni natural;BRL;70;0%;40%;Alto;100;0,53;2,16;;;;;;70;90;50;50;70;70;110;90;90;70;90;70
shampoo boni natural é bom;BRL;20;0%;-50%;Alto;100;0,47;2,41;;;;;;20;30;20;20;20;10;10;10;10;10;10;10
pasta sem flúor;BRL;1300;0%;30%;Alto;100;0,41;2,78;;;;;;1000;1300;1000;1000;1300;1300;1300;1300;1000;1300;1600;1300
pasta de dente sem flúor;BRL;4400;0%;0%;Alto;100;0,6;2,8;;;;;;4400;4400;3600;4400;4400;4400;4400;5400;4400;4400;5400;4400
boni natural desodorante spray;BRL;40;-20%;0%;Alto;100;1,01;2,95;;;;;;50;50;50;40;50;50;30;40;40;50;30;40
creme dental vegano;BRL;1600;-38%;0%;Alto;100;0,59;1,59;;;;;;1000;1000;1000;1000;880;880;3600;2400;1600;1600;1300;1000
pasta de dente sem fluor;BRL;4400;0%;0%;Alto;100;0,6;2,8;;;;;;4400;4400;3600;4400;4400;4400;4400;5400;4400;4400;5400;4400
pasta de dente sem menta;BRL;90;0%;29%;Alto;100;1,08;3,61;;;;;;70;70;50;70;90;110;70;90;90;90;90;90
boni natural resenha;BRL;20;0%;-67%;Alto;100;;;;;;;;30;30;20;30;20;20;30;40;30;10;10;10
sem fluor;BRL;50;-20%;-43%;Alto;99;0,75;2,79;;;;;;50;50;50;50;70;50;50;70;50;50;50;40
pasta sem fluor;BRL;1300;0%;30%;Alto;100;0,41;2,78;;;;;;1000;1300;1000;1000;1300;1300;1300;1300;1000;1300;1600;1300
melhor pasta de dente natural;BRL;40;-22%;∞;Alto;100;1,57;5,4;;;;;;0;0;0;0;30;30;70;50;90;90;50;70
pasta de dente sem;BRL;20;50%;50%;Alto;87;0,49;4,42;;;;;;10;10;10;10;20;20;30;20;10;20;10;30
condicionador boni natural;BRL;50;40%;-22%;Alto;100;0,69;3,16;;;;;;70;40;30;50;50;70;70;50;70;50;90;70
natural creme dental;BRL;70;0%;0%;Alto;100;0,95;6,04;;;;;;70;70;50;50;50;70;90;90;70;70;70;70
desodorante spray boni natural;BRL;90;55%;325%;Alto;100;0,72;2,66;;;;;;70;50;70;70;70;70;140;140;90;110;110;170
desodorante boni natural melaleuca e toranja 120ml;BRL;30;75%;∞;Alto;100;0,92;2,3;;;;;;0;0;0;0;0;50;90;30;70;40;30;70
bebe boni;BRL;20;100%;0%;Baixo;15;;;;;;;;30;30;20;30;20;20;30;20;10;10;20;20
cremes dentais veganos;BRL;70;-40%;-25%;Alto;100;0,59;2,11;;;;;;40;30;40;30;20;30;210;170;50;50;40;30
creme dental com pouco flúor;BRL;10;-67%;∞;Alto;92;0,24;2,41;;;;;;0;0;0;0;0;0;0;40;40;30;40;10
creme dental;BRL;22200;0%;22%;Alto;88;0,75;4;;;;;;22200;22200;18100;22200;22200;27100;27100;27100;27100;27100;33100;27100
boni natural sabonete liquido;BRL;40;-89%;-86%;Alto;100;1,13;3,63;;;;;;40;30;30;50;30;50;70;50;40;90;20;10
enxaguante bucal vegano;BRL;260;0%;24%;Alto;100;0,36;5,16;;;;;;170;210;170;210;170;210;390;390;320;210;260;210
pasta de dente sem fluor adultos;BRL;90;0%;29%;Alto;100;0,32;2,79;;;;;;90;70;70;50;90;90;110;90;70;90;90;90
pasta de dente vegana com fluor;BRL;30;-75%;-50%;Alto;100;1,18;3,71;;;;;;20;20;10;20;20;30;70;90;40;40;40;10
gel dental vegano;BRL;20;100%;-33%;Alto;99;0,65;2,77;;;;;;30;20;10;30;20;30;30;30;40;10;20;20
marca boni;BRL;30;-33%;-33%;Alto;67;0,32;2,19;;;;;;20;20;20;30;20;30;40;20;30;30;30;20
pasta de dente vegana;BRL;2900;-34%;-21%;Alto;100;0,45;2,44;;;;;;2400;1900;1900;1900;1600;1900;9900;6600;2900;2900;2400;1900
creme dental sem aluminio;BRL;10;0%;∞;Alto;100;0,59;3;;;;;;0;0;0;0;0;0;0;0;20;40;40;40
creme dental branqueador boni natural;BRL;20;0%;∞;Alto;100;0,92;5,32;;;;;;0;0;0;0;0;0;0;40;40;50;50;50
sabonete liquido boni natural;BRL;70;29%;-18%;Alto;100;0,72;3,14;;;;;;70;70;40;50;70;70;110;90;70;70;90;90
máscara do boni;BRL;70;180%;250%;Baixo;3;;;;;;;;70;20;40;50;70;70;50;40;140;50;40;140
desodorante spray boni natural melaleuca e toranja;BRL;30;250%;250%;Alto;100;0,77;2,44;;;;;;10;20;20;40;20;20;20;30;40;20;30;70
mascara capilar boni natural;BRL;20;-50%;-33%;Alto;100;0,59;2,69;;;;;;30;30;20;10;20;20;10;20;20;40;20;20
boni natural mascara capilar;BRL;20;0%;50%;Alto;100;0,61;2,96;;;;;;20;10;20;20;20;30;30;30;30;30;30;30
boni natural desodorante spray melaleuca e toranja 120ml lojas;BRL;50;-29%;∞;Alto;100;0,85;2,4;;;;;;0;0;0;90;70;70;70;40;40;70;30;50
shampoo boni natural argan e linhaça;BRL;70;75%;75%;Alto;95;0,71;3,44;;;;;;70;70;70;50;70;90;90;70;90;40;70;70
boni natural argan e linhaça;BRL;50;-50%;-33%;Alto;100;0,31;3,04;;;;;;20;10;50;90;90;50;70;70;50;40;10;20
mascara boni natural;BRL;50;-50%;0%;Alto;100;0,57;4,17;;;;;;40;50;40;40;40;30;70;50;50;40;50;20
desodorante melaleuca;BRL;110;271%;420%;Alto;100;0,49;1,79;;;;;;70;90;90;140;110;110;90;90;70;70;90;260
melaleuca desodorante;BRL;40;125%;200%;Alto;100;0,31;1,62;;;;;;30;20;40;40;30;30;30;30;20;40;30;90
shampoo boni natural resenha;BRL;20;0%;100%;Alto;100;0,76;4,26;;;;;;10;10;10;20;20;40;30;40;30;20;30;20
escova natural;BRL;90;27%;56%;Alto;100;0,44;1,34;;;;;;90;90;70;70;50;70;70;70;90;110;90;140
antisséptico bucal natural;BRL;40;0%;-20%;Alto;100;0,84;5,2;;;;;;50;50;40;50;40;40;50;40;30;40;40;40
escova de dente natural;BRL;70;0%;0%;Alto;100;0,7;4,92;;;;;;70;70;70;70;50;50;70;70;90;50;50;50
desodorante de melaleuca;BRL;90;3500%;2300%;Alto;100;0,31;1,22;;;;;;30;30;30;30;30;40;40;30;30;20;40;720
desodorante com melaleuca;BRL;30;250%;250%;Alto;100;0,31;1,36;;;;;;20;30;20;20;20;30;20;20;30;20;30;70
kit higiene pessoal;BRL;720;0%;0%;Alto;100;0,4;2,08;;;;;;720;880;880;590;720;880;880;880;720;880;720;880
kits de higiene pessoal;BRL;1000;0%;0%;Alto;100;0,4;2,09;;;;;;1000;1300;1300;880;1000;1300;1300;1000;1000;1000;1300;1000
escova biodegradável;BRL;260;50%;-46%;Alto;100;0,46;0,75;;;;;;260;210;320;260;260;260;320;260;210;140;210;210
enxague bucal natural;BRL;20;0%;-50%;Alto;100;0,82;2,66;;;;;;20;20;10;20;20;20;40;10;10;10;10;10
produtos de higiene bucal;BRL;260;-34%;-19%;Alto;87;0,35;0,87;;;;;;170;260;140;90;210;320;480;320;320;320;260;210
produtos higiene bucal;BRL;50;-25%;-25%;Alto;100;0,48;1,57;;;;;;40;70;30;30;50;70;50;70;50;40;40;30
produtos para higiene bucal;BRL;110;0%;-18%;Alto;98;0,44;1,13;;;;;;140;110;90;70;170;140;140;110;110;90;140;90
kit higiene bucal;BRL;1300;19%;46%;Alto;100;0,56;2,02;;;;;;1000;1000;1000;1600;1600;1300;1300;1300;1300;1600;1900;1900
kit produtos de higiene pessoal;BRL;40;0%;-25%;Alto;100;0,44;1,95;;;;;;50;40;30;30;30;50;50;40;20;30;40;30
antisséptico bucal;BRL;3600;0%;0%;Alto;100;0,8;4,6;;;;;;3600;3600;3600;5400;2900;4400;3600;3600;3600;3600;3600;3600
creme dental natural carvão ativado;BRL;110;-21%;-21%;Alto;100;0,78;3,27;;;;;;170;110;70;110;90;110;90;110;110;140;90;110
