Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
feito no brasil loja;BRL;10;0%;0%;Baixo;29;;;;;;;;10;10;10;20;10;10;10;90;10;10;10;10
feito brasil mandaguaçu;BRL;20;0%;-50%;Baixo;1;;;;;;;;30;20;20;10;10;10;20;30;10;10;20;10
casa feito brasil;BRL;90;-36%;-18%;Alto;100;0,49;2,26;;;;;;70;90;30;70;70;70;70;110;110;140;90;90
sabonete feito brasil;BRL;30;0%;-94%;Alto;100;0,26;2,16;;;;;;90;30;40;30;20;30;20;30;10;10;20;10
feito brasil sephora;BRL;10;-50%;-67%;Alto;100;;;;;;;;20;20;10;10;10;10;10;20;10;20;10;10
ymbu cosméticos;BRL;10;0%;-100%;Desconhecido;;;;;;;;;10;10;10;0;10;0;0;0;0;0;0;0
sabonete esfoliante feito brasil;BRL;10;0%;-100%;Desconhecido;;;;;;;;;110;30;10;10;0;0;10;10;10;0;10;0
ymbu feito brasil;BRL;10;∞;0%;Alto;71;;;;;;;;10;0;10;0;10;10;10;10;10;0;0;10
feito brasil hidratante;BRL;20;-67%;∞;Alto;100;1,08;3,12;;;;;;0;0;0;0;0;20;30;50;50;30;20;10
feito brasil cocais;BRL;20;0%;∞;Alto;100;0,41;2,16;;;;;;50;30;20;20;30;20;20;40;20;10;10;10
sal de banho e escalda pés iluminador feito brasil;BRL;10;-100%;-100%;Desconhecido;;;;;;;;;50;50;20;10;10;10;10;10;10;10;10;0
gel esfoliante feito brasil;BRL;10;0%;-67%;Baixo;29;;;;;;;;10;10;10;10;10;10;10;10;0;10;0;10
gel esfoliante segredos de camarim;BRL;10;-100%;-100%;Desconhecido;;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;0
sal de banho iluminador feito brasil;BRL;10;0%;-86%;Alto;100;;;;;;;;30;30;20;20;10;10;10;10;10;10;10;10
esfoliante feito brasil;BRL;20;0%;-86%;Alto;100;0,65;2,52;;;;;;40;20;20;10;20;20;30;30;10;10;10;10
sal de banho iluminador abre alas;BRL;20;0%;-75%;Alto;100;;;;;;;;70;50;10;20;10;10;10;10;10;10;10;10
segredos de camarim gel esfoliante;BRL;10;0%;0%;Alto;100;;;;;;;;10;20;20;10;10;10;10;10;0;10;10;10
sal de banho feito brasil;BRL;10;0%;-89%;Alto;100;;;;;;;;40;30;10;10;10;10;10;10;10;10;10;10
esfoliante camarim;BRL;10;0%;-80%;Alto;81;;;;;;;;10;10;20;20;10;10;10;10;10;10;10;10
goiabada hidratante;BRL;20;-50%;0%;Alto;90;;;;;;;;20;20;10;30;20;20;10;30;20;20;10;10
sal de banho iluminador;BRL;20;0%;-89%;Alto;97;;;;;;;;90;40;30;30;20;10;20;10;20;10;10;10
dom tropical;BRL;20;0%;-78%;Alto;100;0,28;0,78;;;;;;70;30;30;20;20;20;20;10;10;20;10;20
sal de banho abre alas;BRL;10;∞;-86%;Alto;100;;;;;;;;40;50;20;10;10;10;10;10;0;0;10;10
iluminador corporal abre alas;BRL;20;0%;-50%;Alto;100;;;;;;;;70;20;20;30;20;10;10;10;20;10;10;10
sais de banho feito brasil;BRL;10;-50%;-86%;Alto;100;0,33;1,01;;;;;;20;20;10;10;10;10;10;10;10;20;10;10
iluminador feito brasil;BRL;20;0%;-67%;Alto;100;0,64;1,99;;;;;;40;30;20;20;30;10;10;10;30;10;10;10
sabonete dom tropical;BRL;20;0%;-91%;Alto;96;;;;;;;;110;50;20;10;20;10;10;20;10;10;10;10
abre alas iluminador corporal;BRL;30;0%;0%;Alto;100;;;;;;;;170;20;20;30;40;10;10;10;10;10;10;10
iluminador corporal feito brasil;BRL;30;0%;0%;Alto;100;0,39;2,34;;;;;;70;30;20;20;40;20;10;10;20;30;40;30
sabonete picole feito brasil;BRL;10;0%;-91%;Alto;100;;;;;;;;70;20;10;10;10;10;20;10;10;10;10;10
bomba efervescente;BRL;260;0%;-46%;Alto;100;0,41;0,89;;;;;;320;390;260;260;320;260;260;390;320;210;170;210
gel esfoliante corporal;BRL;260;23%;88%;Alto;100;0,76;2,54;;;;;;170;210;170;260;210;260;260;210;210;260;320;320
sais de banho esfoliante;BRL;40;0%;100%;Alto;100;0,19;0,76;;;;;;20;30;30;40;50;30;30;50;50;40;30;40
gel esfoliante facial;BRL;210;24%;0%;Alto;100;0,87;2,76;;;;;;260;170;170;260;170;210;260;260;210;210;260;260
vela massagem;BRL;590;-18%;84%;Alto;100;0,29;1,03;;;;;;390;480;480;390;480;590;590;880;1000;720;590;590
vela de massagem;BRL;1900;0%;46%;Alto;100;0,26;0,8;;;;;;1300;1600;1300;1300;1300;1300;1600;3600;3600;1900;1900;1900
gel esfoliante;BRL;1300;0%;-19%;Alto;100;0,6;1,69;;;;;;1300;1300;1000;1300;1300;1600;1600;1300;1300;1300;1300;1300
esfoliante gel;BRL;30;0%;-50%;Alto;100;0,49;2,42;;;;;;20;40;30;20;30;30;30;20;30;20;50;20
bomba efervescente banheira;BRL;50;-71%;-50%;Alto;100;0,44;1,21;;;;;;50;70;30;50;50;40;30;50;50;70;30;20
esfoliante facial;BRL;12100;0%;-18%;Alto;100;0,81;2,3;;;;;;12100;12100;12100;12100;12100;14800;14800;12100;12100;12100;12100;12100
gel esfoliante rosto;BRL;70;175%;57%;Alto;100;0,87;1,97;;;;;;90;110;90;90;70;70;70;50;40;40;90;110
esfoliante;BRL;22200;0%;-18%;Alto;100;0,58;1,8;;;;;;22200;22200;22200;22200;18100;27100;22200;22200;22200;22200;22200;22200
vela para massagem;BRL;2400;-17%;26%;Alto;100;0,24;0,8;;;;;;1900;1900;1600;1600;1900;1900;2400;3600;4400;2900;2900;2400
vela aromatica para massagem;BRL;40;33%;300%;Alto;100;0,24;0,77;;;;;;10;30;10;10;20;40;30;70;90;30;50;40
gomagem corporal;BRL;1300;30%;0%;Alto;99;0,49;1,32;;;;;;1300;1300;1000;1300;1000;1000;1000;1300;1000;1000;1300;1300
esfoliante em gel;BRL;90;-18%;-47%;Alto;100;0,51;1,86;;;;;;110;110;70;70;70;90;110;110;90;110;90;90
gomagem;BRL;1000;0%;0%;Alto;97;0,29;1,01;;;;;;1300;1000;880;880;880;880;880;1000;1000;1000;1300;1000
sal de banho;BRL;1000;14%;0%;Alto;100;0,34;1,01;;;;;;1000;1000;1300;1000;880;1000;1300;1000;1000;880;880;1000
banho com sais;BRL;30;0%;0%;Médio;59;;;;;;;;30;30;20;30;30;20;30;30;20;30;20;30
sabonete de jabuticaba;BRL;30;0%;-50%;Alto;99;;;;;;;;50;20;50;30;20;20;10;30;20;20;30;20
hidratante antisséptico;BRL;90;-57%;29%;Alto;100;0,77;2,41;;;;;;50;70;90;70;70;110;70;140;110;210;110;90
vela de massagem corporal;BRL;50;-25%;-25%;Alto;100;0,33;1,02;;;;;;30;50;30;50;30;40;30;90;50;40;50;30
vela massagem corporal;BRL;20;50%;200%;Alto;100;0,3;0,62;;;;;;20;10;10;10;20;40;20;40;40;20;40;30
sal para banho;BRL;70;75%;40%;Alto;100;0,28;0,75;;;;;;70;50;90;70;70;70;70;90;70;40;70;70
vela massageadora;BRL;260;-19%;53%;Alto;100;0,22;0,81;;;;;;140;210;210;170;210;210;260;390;480;320;320;260
benefícios dos sais de banho;BRL;70;0%;-22%;Alto;96;;;;;;;;70;50;70;70;50;70;70;90;70;70;50;70
esfoliante facial preço;BRL;20;100%;-50%;Alto;88;0,49;1,33;;;;;;30;30;20;20;20;20;20;20;20;10;20;20
sais de banho escalda pés;BRL;40;0%;100%;Alto;100;0,31;0,84;;;;;;30;50;40;50;50;50;40;50;50;40;40;40
esfoliador facial;BRL;110;-50%;-59%;Alto;100;0,79;2,43;;;;;;170;140;140;140;110;110;110;140;90;140;110;70
esfoliante corporal;BRL;40500;22%;50%;Alto;100;0,69;2,51;;;;;;40500;40500;40500;49500;40500;49500;49500;40500;40500;40500;49500;49500
vela para massagem corporal;BRL;70;0%;80%;Alto;100;0,25;0,8;;;;;;30;70;40;90;40;50;50;140;140;90;70;90
velas massagem;BRL;590;-18%;84%;Alto;100;0,29;1,03;;;;;;390;480;480;390;480;590;590;880;1000;720;590;590
esfoliante para o rosto preço;BRL;30;0%;-57%;Alto;100;0,49;1,12;;;;;;30;40;40;30;40;20;20;40;20;30;40;30
sabonete esfoliante facial;BRL;260;52%;-18%;Alto;100;1;5,31;;;;;;320;260;260;260;320;320;320;320;260;210;260;320
sais de banho;BRL;12100;0%;-18%;Alto;100;0,34;1,15;;;;;;9900;9900;12100;12100;9900;12100;12100;14800;12100;9900;9900;9900
sais para banho relaxante;BRL;30;150%;∞;Alto;100;0,26;0,87;;;;;;0;0;30;30;20;20;10;20;40;20;50;50
escalda pés com sais de banho;BRL;30;0%;-40%;Alto;100;0,29;0,93;;;;;;50;40;40;30;30;30;20;50;30;30;30;30
esfoliante preço;BRL;50;0%;-43%;Alto;100;0,49;1,11;;;;;;70;70;50;70;70;70;70;50;30;40;50;40
vela oleo de massagem;BRL;20;-67%;-50%;Alto;100;;;;;;;;10;20;20;30;10;20;30;50;30;30;20;10
bomba de banho efervescente;BRL;30;-50%;-89%;Alto;100;0,22;0,66;;;;;;30;70;50;40;10;10;40;30;10;20;20;10
tipos de sais de banho;BRL;30;0%;50%;Alto;90;;;;;;;;30;40;40;50;30;40;40;30;20;30;30;30
banho de sais;BRL;260;0%;-19%;Alto;99;0,35;1,04;;;;;;260;320;390;260;210;260;210;260;260;260;260;260
sabonete gel esfoliante;BRL;20;-33%;-60%;Alto;100;0,41;1,39;;;;;;40;20;10;20;20;30;20;20;20;30;20;20
gomage esfoliante;BRL;90;22%;57%;Alto;100;0,29;1,04;;;;;;70;110;70;50;70;70;90;110;90;90;110;110
