Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
a cosmetica;BRL;170;-18%;-46%;Médio;58;0,57;2,35;;;;;;170;210;260;210;170;170;210;140;170;170;170;140
a cosmeticos;BRL;170;-18%;-46%;Médio;58;0,57;2,35;;;;;;170;210;260;210;170;170;210;140;170;170;170;140
a loja cosmeticos;BRL;70;0%;∞;Alto;88;0,68;2,24;;;;;;0;0;0;0;140;260;140;90;40;40;50;40
a organica;BRL;10;-50%;0%;Médio;57;;;;;;;;10;10;10;10;10;10;20;20;10;20;10;10
atacadista de cosmeticos;BRL;140;0%;-46%;Alto;100;0,56;1,69;;;;;;210;170;170;110;110;170;170;170;110;140;110;140
atacadista de cosméticos em são paulo;BRL;20;50%;-25%;Alto;100;0,62;1,39;;;;;;30;40;10;20;10;20;10;30;50;20;10;30
atacado cosmetico;BRL;720;0%;-45%;Alto;100;0,5;1,45;;;;;;880;880;720;880;720;720;880;720;720;720;880;720
atacado de cosmetico;BRL;880;-18%;-45%;Alto;100;0,54;1,7;;;;;;1000;880;880;880;880;880;1000;1000;880;880;1000;720
atacado de cosméticos em são paulo;BRL;40;0%;250%;Alto;89;0,47;1,14;;;;;;30;10;10;20;20;10;20;70;40;70;70;70
atacado de cosméticos para revenda;BRL;390;-35%;-71%;Alto;100;0,48;1,41;;;;;;590;720;390;320;260;320;390;480;390;260;390;170
atacado de cosméticos sp;BRL;50;57%;57%;Alto;75;0,57;1,4;;;;;;50;50;30;40;40;70;50;30;50;70;70;110
atacado do cosmético;BRL;90;80%;-57%;Alto;99;0,47;1,66;;;;;;170;110;90;110;90;90;70;70;50;50;90;90
atacado dos cosméticos;BRL;170;53%;24%;Alto;100;0,41;1,47;;;;;;170;170;140;170;140;110;140;140;140;170;260;260
brasil cosmetics;BRL;590;-19%;0%;Alto;100;0,37;1,51;;;;;;590;720;590;480;480;480;590;480;480;590;480;480
catálogo cosméticos naturais;BRL;30;-50%;-50%;Alto;95;0,7;1,93;;;;;;30;40;20;10;20;20;30;50;30;40;30;20
catálogo de cosméticos;BRL;90;-29%;-55%;Baixo;25;0,46;1,38;;;;;;110;110;110;90;110;140;140;140;70;70;70;50
comprar cosmeticos;BRL;390;-19%;-46%;Alto;100;1,31;5,88;;;;;;390;390;320;390;320;480;390;320;320;320;320;260
comprar cosmeticos online;BRL;30;0%;-50%;Alto;100;1,15;6,84;;;;;;40;40;40;30;30;30;30;20;30;20;10;20
comprar cosméticos no atacado;BRL;50;0%;0%;Alto;100;0,59;2,29;;;;;;50;70;40;50;50;40;90;70;50;50;70;50
comprar cosméticos para revender;BRL;40;0%;-25%;Alto;100;0,66;1,67;;;;;;30;30;30;50;40;50;30;40;30;30;30;30
compre organico;BRL;40;-50%;-80%;Alto;96;1,5;15,53;;;;;;50;40;40;50;40;50;40;40;20;20;30;10
cosmetic brasil;BRL;590;0%;22%;Alto;77;0,42;1,86;;;;;;590;720;590;480;390;480;590;720;720;720;880;720
cosmetica curitiba;BRL;1600;0%;-32%;Médio;49;0,71;2,36;;;;;;1600;1300;1900;1600;1300;1900;1600;1600;1600;1300;1600;1300
cosmetica distribuidora;BRL;170;0%;21%;Alto;73;0,56;1,91;;;;;;140;170;110;110;140;590;170;140;110;170;140;170
cosmetico brasil;BRL;590;0%;22%;Alto;77;0,42;1,86;;;;;;590;720;590;480;390;480;590;720;720;720;880;720
cosmetico em atacado;BRL;260;0%;-46%;Alto;100;0,57;1,78;;;;;;320;260;260;260;320;210;390;320;260;210;260;210
cosmetico loja;BRL;390;0%;0%;Alto;88;0,95;3,31;;;;;;480;390;390;320;320;390;390;320;390;390;390;390
cosmetico naturais;BRL;590;22%;0%;Alto;100;0,96;2,43;;;;;;720;720;480;590;480;720;720;720;480;590;590;720
cosmetico no atacado;BRL;480;0%;-33%;Alto;100;0,57;1,82;;;;;;590;480;320;480;390;390;480;480;590;480;480;480
cosmetico online;BRL;1300;-18%;-62%;Alto;100;0,96;4,77;;;;;;1600;1600;1300;1300;1000;1600;1600;1000;880;880;720;720
cosmetico para revenda;BRL;1300;-19%;-32%;Alto;100;0,62;1,69;;;;;;1600;1300;1000;1600;1300;1600;1600;1300;1300;1600;1600;1300
cosmetico vegano;BRL;2900;0%;0%;Alto;100;0,85;2,26;;;;;;2900;2400;1900;1900;1900;2400;4400;3600;2900;2400;2400;2400
cosmeticos;BRL;33100;0%;0%;Alto;100;0,9;3,45;;;;;;33100;33100;33100;33100;27100;33100;40500;33100;33100;33100;33100;33100
cosmeticos atacado;BRL;2400;0%;-47%;Alto;100;0,57;1,77;;;;;;2900;2900;2400;2900;2400;2400;2400;2400;1900;1900;2400;1900
cosmeticos bh;BRL;70;40%;-22%;Alto;100;0,73;14,78;;;;;;70;70;40;50;50;90;90;40;50;50;90;70
cosmeticos brasileiros;BRL;590;0%;22%;Alto;77;0,42;1,86;;;;;;590;720;590;480;390;480;590;720;720;720;880;720
cosmeticos campinas;BRL;210;24%;-19%;Médio;37;0,52;1,54;;;;;;210;210;210;210;170;260;320;210;170;210;170;260
cosmeticos curitiba;BRL;1600;0%;-32%;Médio;49;0,71;2,36;;;;;;1600;1300;1900;1600;1300;1900;1600;1600;1600;1300;1600;1300
cosmeticos de fabrica;BRL;170;0%;-65%;Alto;95;0,52;1,28;;;;;;260;320;210;260;170;110;140;90;70;90;90;90
cosmeticos do brasil;BRL;70;22%;1000%;Alto;100;0,38;2,15;;;;;;10;20;10;70;20;20;110;210;110;90;90;110
cosmeticos e;BRL;20;0%;-50%;Alto;78;0,83;7,33;;;;;;20;10;20;10;20;20;20;20;20;10;20;10
cosmeticos em campinas;BRL;70;40%;-36%;Médio;49;0,51;1,12;;;;;;90;90;90;70;70;70;70;70;40;50;50;70
cosmeticos em sao paulo;BRL;30;0%;0%;Alto;88;0,82;1,79;;;;;;30;50;20;30;40;30;30;20;30;30;40;30
cosmeticos empresas;BRL;30;400%;150%;Baixo;31;0,77;2,01;;;;;;20;10;10;20;30;50;10;20;10;10;70;50
cosmeticos fabrica;BRL;70;-82%;-78%;Alto;95;0,66;1,88;;;;;;10;50;70;90;50;70;50;40;90;110;170;20
cosmeticos industria;BRL;90;-97%;-88%;Médio;51;0,57;0,97;;;;;;30;90;50;30;20;140;20;10;50;590;30;20
cosmeticos joinville;BRL;720;-18%;-33%;Baixo;21;0,48;1,47;;;;;;720;720;880;720;720;880;880;720;590;720;880;590
cosmeticos marcas;BRL;390;-18%;-18%;Alto;100;0,53;2,47;;;;;;390;390;320;320;320;390;480;390;320;390;390;320
cosmeticos naturais atacado;BRL;140;-36%;-36%;Alto;100;0,62;1,58;;;;;;110;110;140;140;110;210;170;170;110;110;90;70
cosmeticos naturais bh;BRL;40;0%;-60%;Alto;100;0,83;1,9;;;;;;70;50;30;140;50;20;30;30;20;20;40;20
cosmeticos naturais curitiba;BRL;50;0%;0%;Alto;100;0,85;2,11;;;;;;40;70;50;90;50;40;70;50;40;50;70;50
cosmeticos naturais e veganos;BRL;110;29%;-36%;Alto;100;0,9;2,29;;;;;;110;170;70;140;170;90;140;110;110;70;110;90
cosmeticos naturais florianopolis;BRL;50;40%;75%;Alto;100;0,89;2,83;;;;;;40;50;40;20;90;40;40;50;20;50;30;70
cosmeticos naturais organicos e veganos;BRL;90;-36%;75%;Alto;100;0,91;2,29;;;;;;50;70;90;70;70;110;110;110;90;110;50;70
cosmeticos naturais para revenda;BRL;320;-19%;-19%;Alto;100;0,66;1,45;;;;;;210;210;260;390;390;390;390;260;260;260;210;210
cosmeticos naturais revenda;BRL;20;100%;0%;Alto;100;0,76;2,32;;;;;;30;20;10;30;30;20;20;20;30;10;20;20
cosmeticos naturais rio de janeiro;BRL;30;0%;0%;Alto;100;0,89;2,1;;;;;;40;20;30;20;30;40;50;50;50;20;40;20
cosmeticos naturais sao paulo;BRL;30;200%;-25%;Alto;100;0,91;4,4;;;;;;20;50;30;10;20;10;20;90;30;10;10;30
cosmeticos naturais veganos;BRL;50;25%;25%;Alto;100;0,93;2,12;;;;;;50;40;40;50;40;50;70;40;70;40;50;50
cosmeticos no brasil;BRL;50;75%;0%;Alto;81;0,49;10,91;;;;;;70;40;40;30;40;50;50;70;70;40;50;70
cosmeticos on line;BRL;1300;-18%;-62%;Alto;100;0,96;4,77;;;;;;1600;1600;1300;1300;1000;1600;1600;1000;880;880;720;720
cosmeticos organicos;BRL;590;22%;0%;Alto;100;0,87;2,96;;;;;;720;880;590;590;390;720;880;720;720;590;590;720
cosmeticos organicos brasileiros;BRL;10;-100%;-100%;Desconhecido;;;;;;;;;10;30;10;10;10;20;20;20;10;10;10;0
cosmeticos organicos marcas;BRL;30;0%;0%;Alto;100;0,73;2,11;;;;;;30;30;40;20;20;30;10;30;20;30;50;30
cosmeticos organicos veganos e naturais;BRL;20;50%;200%;Alto;100;0,85;2,68;;;;;;20;10;10;20;30;20;10;10;20;20;20;30
cosmeticos orgânicos;BRL;320;-19%;-46%;Alto;100;0,73;2,17;;;;;;390;390;260;320;260;320;480;390;320;320;320;260
