Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
holistix escova seca;BRL;70;0%;∞;Alto;100;0,85;9,45;;;;;;0;70;50;110;90;70;90;110;70;70;70;70
escova seca holistix;BRL;40;67%;∞;Alto;100;0,86;9,57;;;;;;0;0;40;50;40;70;70;90;50;30;40;50
holistix raspador de lingua;BRL;170;-19%;325%;Alto;100;0,57;33,05;;;;;;70;110;90;110;90;140;170;210;260;210;210;170
raspador de lingua holistix;BRL;140;24%;1200%;Alto;100;0,63;33;;;;;;30;40;50;90;110;170;210;210;170;210;170;260
holistix primeira compra;BRL;30;-43%;∞;Médio;53;0,21;116,21;;;;;;0;0;0;0;0;0;50;70;70;70;40;40
escova holistix;BRL;50;25%;∞;Alto;100;0,45;4,57;;;;;;0;50;50;70;50;70;50;50;50;40;40;50
raspador de lingua de cobre ou inox;BRL;20;-20%;∞;Alto;100;0,64;5,29;;;;;;0;0;0;0;0;30;40;40;50;50;30;40
holistix brasil;BRL;10;-50%;∞;Alto;88;;;;;;;;0;0;0;0;0;0;0;0;10;20;10;10
raspador de língua cobre ou inox;BRL;110;-36%;29%;Alto;100;0,64;3,13;;;;;;90;90;70;140;140;140;170;170;170;140;50;90
raspador de;BRL;50;0%;75%;Alto;99;0,31;4,36;;;;;;30;40;20;30;50;70;50;50;50;70;50;70
raspador de língua inox ou cobre;BRL;40;0%;∞;Alto;99;0,71;3,3;;;;;;0;0;0;0;0;40;50;70;90;90;90;90
holistix loja;BRL;50;-36%;250%;Alto;100;0,15;12,66;;;;;;20;20;20;10;10;30;50;70;110;110;70;70
raspador de língua cobre;BRL;2900;24%;177%;Alto;100;0,75;3,27;;;;;;1300;1600;1600;1900;2400;2900;2900;3600;3600;2900;2900;3600
raspador de língua de cobre;BRL;1900;53%;230%;Alto;100;0,5;2,63;;;;;;1000;1300;1300;1900;1900;2400;2400;2900;2400;1900;1900;2900
raspador cobre;BRL;30;-50%;-50%;Alto;100;0,84;6,29;;;;;;10;20;20;30;40;40;40;40;40;20;30;10
raspador de lingua cobre;BRL;2900;24%;177%;Alto;100;0,75;3,27;;;;;;1300;1600;1600;1900;2400;2900;2900;3600;3600;2900;2900;3600
raspador de cobre;BRL;170;0%;136%;Alto;100;0,62;2,65;;;;;;70;90;110;140;140;210;210;260;210;260;210;260
raspador de lingua de cobre;BRL;1900;53%;230%;Alto;100;0,5;2,63;;;;;;1000;1300;1300;1900;1900;2400;2400;2900;2400;1900;1900;2900
raspador de lingua de prata;BRL;70;0%;-29%;Alto;100;0,49;2,01;;;;;;50;50;40;90;70;70;90;50;70;50;70;50
