Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
oxibenzona protetor solar;BRL;90;-57%;-73%;Alto;100;;;;;;;;140;90;70;90;140;90;140;40;110;70;40;30
protetor solar com oxibenzona;BRL;30;25%;400%;Alto;100;1,39;3,25;;;;;;20;10;10;10;20;20;40;30;20;40;40;50
quais protetores solares tem oxibenzona;BRL;20;100%;100%;Alto;95;1,51;3,31;;;;;;20;20;10;10;20;20;50;10;10;20;20;40
oxibenzona faz mal;BRL;50;-21%;267%;Baixo;1;;;;;;;;30;20;20;30;20;50;110;50;50;140;90;110
avobenzona protetor solar;BRL;20;-67%;0%;Alto;100;;;;;;;;10;10;10;10;10;10;110;50;20;30;10;10
protetor sem oxibenzona;BRL;30;-60%;-33%;Alto;100;1,5;1,97;;;;;;10;20;30;20;30;20;40;10;30;50;50;20
protetor solar sem oxibenzona;BRL;110;0%;57%;Alto;100;1,52;2,97;;;;;;90;70;50;110;140;110;90;70;50;110;210;110
protetor solar faz mal;BRL;210;52%;88%;Alto;80;1,12;1,82;;;;;;170;140;170;170;170;140;140;140;140;210;590;320
protetores solares perigosos;BRL;10;0%;∞;Alto;100;;;;;;;;0;0;10;10;0;10;10;10;10;10;10;10
ingredientes protetor solar;BRL;20;100%;0%;Alto;90;0,89;3,17;;;;;;20;20;20;20;10;10;20;20;10;10;20;20
filtros solares organicos;BRL;30;100%;-50%;Alto;100;0,53;3,16;;;;;;30;50;30;10;10;40;30;40;30;10;20;20
protetor solar faz mal pra pele;BRL;30;0%;0%;Médio;50;;;;;;;;30;70;40;50;30;10;10;10;10;10;40;10
protetor solar maleficios;BRL;20;100%;100%;Baixo;11;1,12;1,16;;;;;;20;20;20;10;10;10;10;10;10;20;30;40
protetor solar ingredientes;BRL;20;100%;100%;Alto;100;0,84;3,16;;;;;;20;40;30;20;20;20;20;30;20;10;30;20
protetor solar faz mal para pele;BRL;20;100%;0%;Alto;71;1,12;3,03;;;;;;20;10;10;10;20;10;10;10;30;20;110;40
protetor solar inorgânico;BRL;70;0%;-44%;Alto;100;1,13;3,28;;;;;;70;90;70;70;50;70;50;40;50;50;70;50
fotoprotetores;BRL;390;86%;0%;Alto;91;0,31;3,23;;;;;;390;480;320;320;320;390;390;390;320;210;320;390
oq é filtro solar;BRL;10;0%;∞;Alto;84;0,49;1,14;;;;;;0;0;0;0;0;0;30;20;10;10;10;10
fotoprotetor solar;BRL;70;120%;57%;Alto;100;0,88;3,28;;;;;;70;50;70;40;40;40;50;50;40;50;90;110
fotoproteção significado;BRL;90;-40%;-57%;Baixo;14;;;;;;;;90;140;70;50;70;90;140;110;90;50;50;30
protetor solar saudavel;BRL;20;50%;200%;Alto;100;0,87;3,27;;;;;;20;20;30;10;10;20;30;20;10;20;40;30
sobre protetor solar;BRL;20;0%;0%;Alto;86;0,46;3,22;;;;;;30;20;30;30;10;20;20;10;10;20;20;20
protetor solar estrogênio;BRL;40;-20%;-20%;Alto;100;0,81;3,28;;;;;;40;20;40;50;30;50;30;40;30;50;70;40
protetor solar no brasil;BRL;10;0%;0%;Alto;100;1,03;3,74;;;;;;10;10;10;20;10;20;20;20;20;10;10;10
protetor solar sem;BRL;20;-33%;100%;Alto;95;0,96;3,27;;;;;;20;20;10;10;20;20;10;10;10;30;20;20
função do protetor solar;BRL;110;100%;0%;Baixo;21;0,85;3,25;;;;;;140;90;90;110;110;140;110;110;90;70;90;140
protetor solar função;BRL;70;75%;0%;Médio;48;0,49;3,28;;;;;;70;50;50;50;70;70;70;70;70;40;50;70
