Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
livealoe loja;BRL;30;0%;-91%;Alto;100;;;;;;;;170;90;20;10;10;10;10;10;10;10;10;10
live aloe site;BRL;; --; --;Desconhecido;;;;;;;;;;;;;;;;;;;;
livealoe aromaterapia;BRL;20;0%;-67%;Alto;100;0,73;1,75;;;;;;20;20;20;20;10;20;30;20;10;10;20;10
live aloe produtos;BRL;20;0%;-94%;Alto;100;0,62;2,55;;;;;;90;90;30;20;10;20;10;10;10;10;10;10
livia aloe;BRL;20;100%;-33%;Alto;100;0,59;1,82;;;;;;10;10;20;20;10;50;30;10;10;10;30;20
livealoe produtos;BRL;20;-50%;-80%;Alto;100;0,74;1,62;;;;;;50;50;50;10;10;20;20;20;10;20;10;10
produtos live aloe;BRL;30;-50%;-80%;Alto;100;0,84;2,46;;;;;;50;20;50;50;20;30;20;30;20;20;50;10
produtos livealoe;BRL;20;0%;0%;Alto;100;0,81;2,68;;;;;;30;30;10;10;20;20;30;30;20;20;10;20
live aloe oleos essenciais;BRL;30;-50%;∞;Alto;100;0,47;1,34;;;;;;0;10;30;30;30;50;30;40;20;20;20;10
live aloe oleo essencial;BRL;10;0%;-50%;Alto;100;0,55;1,33;;;;;;10;20;10;10;10;10;10;10;20;10;10;10
oleo essencial live aloe;BRL;30;-33%;-60%;Alto;100;0,6;1,15;;;;;;40;20;30;30;20;30;40;50;40;30;30;20
livealoe oleo essencial;BRL;50;0%;-20%;Alto;100;0,48;1,34;;;;;;40;40;50;70;50;70;30;30;40;40;50;40
livealoe resenha;BRL;20;-33%;-33%;Alto;100;0,43;2,77;;;;;;20;10;20;20;10;20;40;30;20;30;20;20
live aloe shampoo;BRL;70;-20%;-20%;Alto;100;0,84;2,63;;;;;;70;50;70;50;40;50;70;70;50;50;90;40
livealoe hidratante;BRL;20;50%;50%;Alto;100;1,03;4,55;;;;;;10;10;10;10;10;10;40;30;30;20;30;30
shampoo live aloe;BRL;90;-36%;29%;Alto;100;0,78;2,43;;;;;;90;90;50;70;70;90;90;110;90;140;70;90
escova de aloe vera livealoe;BRL;20;100%;-33%;Alto;100;0,5;1,11;;;;;;40;50;10;20;30;10;40;10;30;10;20;20
live aloe gel;BRL;30;-50%;-67%;Alto;100;0,35;1,68;;;;;;40;40;30;40;30;40;30;20;30;20;30;10
gel live aloe;BRL;20;0%;-67%;Alto;100;0,55;1,48;;;;;;20;10;20;10;10;20;30;20;30;10;20;10
aloe vera livealoe;BRL;30;0%;200%;Alto;100;0,72;2,57;;;;;;20;20;20;10;30;20;30;20;30;30;20;30
live aloe puro gel de aloe;BRL;50;-29%;-29%;Alto;100;0,71;2,26;;;;;;90;70;40;50;20;40;70;50;70;70;70;50
shampoo aloe vera livealoe;BRL;20;0%;100%;Alto;100;0,73;3,08;;;;;;20;10;10;40;20;20;30;10;20;20;30;20
live aloe puro gel;BRL;20;-33%;-33%;Alto;100;0,49;1,16;;;;;;20;20;10;20;10;20;20;10;20;30;10;20
blindagem live aloe;BRL;40;0%;0%;Alto;100;0,47;1,4;;;;;;20;50;40;40;20;20;70;20;30;20;50;20
live aloe desodorante;BRL;50;40%;75%;Alto;100;1,13;2,98;;;;;;50;40;40;50;40;40;50;30;50;50;50;70
shampoo fortalecedor live aloe;BRL;30;50%;50%;Alto;99;0,65;2,31;;;;;;50;20;10;20;20;30;10;30;30;20;30;30
livealoe desodorante;BRL;70;120%;175%;Alto;100;0,69;2,6;;;;;;50;40;50;70;70;70;70;70;40;50;70;110
desodorante live aloe;BRL;90;57%;22%;Alto;100;0,75;2,33;;;;;;90;90;50;110;90;90;110;90;90;70;70;110
gel de aloe vera live aloe;BRL;30;-50%;0%;Alto;100;0,69;1,21;;;;;;10;40;20;20;10;30;30;10;20;40;40;20
desodorante livealoe;BRL;50;40%;75%;Alto;100;0,94;3,84;;;;;;50;50;30;70;110;50;50;40;40;50;50;70
livealoe puro gel;BRL;70;57%;1000%;Alto;100;0,57;2,1;;;;;;40;40;40;40;30;70;70;30;50;70;110;110
puro gel de aloe vera livealoe;BRL;30;-50%;-75%;Alto;100;0,6;1,45;;;;;;20;40;70;50;30;10;30;10;20;20;40;10
puro gel de aloe vera livealoe resenha;BRL;40;-50%;-50%;Alto;100;0,44;1,28;;;;;;70;70;50;40;40;30;40;40;30;40;20;20
gel aloe vera livealoe;BRL;20;-50%;-67%;Alto;100;0,37;1,35;;;;;;20;10;30;20;20;30;20;20;20;20;20;10
gel de babosa livealoe;BRL;40;0%;-29%;Alto;99;0,39;1,27;;;;;;20;30;20;40;30;50;40;50;20;50;40;50
livealoe blindagem;BRL;20;0%;0%;Alto;100;0,38;1,01;;;;;;20;50;30;10;10;10;20;30;20;20;10;20
puro gel de aloe livealoe;BRL;30;-50%;-67%;Alto;100;0,52;1,87;;;;;;40;20;30;30;30;30;30;20;30;20;30;10
aloe cosmeticos;BRL;90;-50%;-73%;Alto;100;0,59;1,36;;;;;;70;70;50;70;90;90;70;110;170;140;70;70
kit blindagem live aloe;BRL;20;0%;-50%;Alto;100;0,38;1,04;;;;;;40;30;10;20;20;20;10;20;20;10;10;10
puro gel de aloe;BRL;140;0%;-48%;Alto;100;0,44;1,33;;;;;;170;140;170;140;110;210;140;170;110;110;140;110
agua capilar live aloe;BRL;20;100%;0%;Alto;100;0,43;1,57;;;;;;20;10;10;30;40;20;20;20;10;10;10;20
desodorante natural live aloe;BRL;30;400%;67%;Alto;100;1,04;2,13;;;;;;30;20;30;30;10;40;20;40;40;10;40;50
puro gel aloe vera;BRL;40;0%;-71%;Alto;100;0,76;1,53;;;;;;40;90;30;50;40;30;30;30;20;20;30;20
puro gel de aloe vera;BRL;70;40%;-22%;Alto;100;0,69;1,5;;;;;;90;110;50;110;70;90;70;70;90;50;50;70
gel puro;BRL;10;0%;0%;Alto;100;0,36;0,67;;;;;;10;10;10;10;10;20;10;10;10;10;10;10
puro aloe vera gel;BRL;10;0%;0%;Alto;100;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
gel de babosa organico;BRL;30;0%;-33%;Alto;100;0,33;0,71;;;;;;40;40;40;20;20;30;20;20;10;20;20;20
oleo aloe precioso;BRL;20;-33%;100%;Alto;100;0,35;1,22;;;;;;20;10;20;20;10;10;20;20;30;30;10;20
sabonete live;BRL;70;0%;350%;Alto;69;0,35;1,72;;;;;;30;20;40;40;30;50;110;70;90;90;90;90
agua de aloe capilar;BRL;40;-50%;-33%;Alto;100;0,24;0,96;;;;;;20;30;50;30;20;40;30;20;90;40;70;20
blindagem livealoe resenha;BRL;20;-33%;0%;Alto;100;;;;;;;;20;30;20;10;10;10;10;20;20;30;10;20
escova de aloe vera;BRL;20;0%;-50%;Alto;100;0,3;4,92;;;;;;30;30;30;20;10;20;20;10;20;10;20;10
sabonete purificante livealoe;BRL;30;-50%;-60%;Alto;100;0,43;2,95;;;;;;40;30;30;30;50;20;50;20;20;40;30;20
gel babosa puro;BRL;70;22%;57%;Alto;100;0,42;1,08;;;;;;70;90;70;70;50;90;90;90;70;90;50;110
desodorante natural aloe vera;BRL;30;100%;-33%;Alto;100;0,54;2,05;;;;;;70;20;20;20;20;20;30;20;30;10;10;20
gel de babosa puro;BRL;1000;48%;-19%;Alto;100;0,41;1;;;;;;1600;1300;1000;1000;1000;1300;1000;1000;880;880;880;1300
água de aloe vera;BRL;10;50%;200%;Alto;100;0,55;0,95;;;;;;10;20;10;10;10;10;10;10;20;20;20;30
gel puro natural aloe vera;BRL;10;∞;0%;Alto;100;;;;;;;;0;10;0;0;0;0;0;0;10;0;10;10
aloe marca;BRL;10;0%;0%;Alto;93;;;;;;;;10;10;10;0;10;10;10;10;10;10;10;10
gel organico de babosa;BRL;50;25%;-44%;Alto;100;0,32;0,89;;;;;;70;70;70;70;50;40;30;40;50;40;70;50
puro gel;BRL;10;-50%;0%;Médio;57;;;;;;;;20;10;10;10;10;20;20;10;10;20;20;10
babosa em gel puro;BRL;20;400%;-44%;Alto;100;0,44;0,98;;;;;;30;20;10;20;10;10;10;20;10;10;10;50
aloe vera oleo essencial;BRL;20;-50%;-50%;Alto;100;;;;;;;;20;10;10;30;10;20;20;20;20;20;20;10
gel de babosa comprar;BRL;50;-33%;-71%;Alto;100;0,48;1,02;;;;;;50;50;50;70;70;50;50;40;50;30;20;20
oleo essencial aloe vera;BRL;40;33%;-56%;Alto;100;0,36;0,92;;;;;;70;70;50;40;30;40;50;20;40;30;50;40
gel de aloe e vera;BRL;40;25%;67%;Alto;100;0,45;1,03;;;;;;50;40;30;40;50;40;30;50;20;40;20;50
óleo essencial de aloe vera;BRL;90;-22%;-36%;Alto;100;0,43;0,94;;;;;;90;70;70;70;90;90;90;70;90;90;90;70
aloe manga;BRL;10;0%;-50%;Alto;100;;;;;;;;40;10;20;20;10;10;10;20;10;10;10;10
babosa gel comprar;BRL;30;-33%;-50%;Alto;100;0,33;0,95;;;;;;40;40;30;20;30;20;30;70;20;30;20;20
gel com aloe vera;BRL;50;33%;-20%;Alto;100;0,52;1,26;;;;;;50;50;50;50;50;40;50;30;40;30;50;40
comprar gel de babosa;BRL;70;0%;-55%;Alto;100;0,47;1,33;;;;;;70;90;50;70;70;50;40;90;90;50;70;50
aloe vera cosméticos;BRL;20;-33%;-33%;Alto;100;0,47;0,99;;;;;;20;20;20;20;10;20;20;20;20;30;30;20
