Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
lola site oficial;BRL;40;-57%;50%;Alto;100;0,24;1,18;;;;;;30;40;50;40;30;50;40;30;30;70;30;30
lola cosmetics logo;BRL;260;0%;0%;Médio;43;0,24;1,22;;;;;;320;390;210;170;210;260;320;320;320;260;320;260
site lola;BRL;110;-59%;-22%;Alto;100;0,24;1,08;;;;;;90;110;90;110;90;110;110;110;110;170;110;70
lola site;BRL;40;-57%;50%;Alto;100;0,24;1,5;;;;;;30;40;50;40;40;40;50;40;50;70;20;30
site da lola;BRL;70;-22%;0%;Alto;100;0,24;0,76;;;;;;70;70;70;50;40;70;70;50;50;90;50;70
lola cosmetics brasil;BRL;20;200%;200%;Alto;100;0,24;1,98;;;;;;10;10;20;20;10;20;20;30;20;10;10;30
logo lola cosmetics;BRL;70;-22%;-22%;Baixo;14;;;;;;;;70;50;50;50;50;90;110;110;90;90;90;70
lola cosmetics site;BRL;1300;-28%;-18%;Alto;100;0,24;1,25;;;;;;720;1000;1000;1300;1300;1900;1900;1600;1000;1000;590;720
linha lola;BRL;480;-19%;-19%;Alto;100;0,24;0,91;;;;;;480;590;480;480;480;480;590;480;480;590;590;480
loja lola cosmetics;BRL;480;-52%;85%;Alto;100;0,24;1,55;;;;;;320;320;320;590;480;480;720;480;480;1000;480;480
cosmetico lola;BRL;480;-19%;0%;Alto;100;0,25;1,44;;;;;;480;390;390;480;390;480;590;480;480;480;480;390
loja lola;BRL;590;-45%;0%;Alto;100;0,24;1,36;;;;;;480;480;590;480;480;590;480;590;590;880;590;480
lola cosmetics loja;BRL;320;-46%;0%;Alto;100;0,24;1,74;;;;;;390;390;320;320;260;320;320;260;260;480;260;260
lola cosmetics site oficial;BRL;30;-50%;-80%;Alto;100;0,24;0,78;;;;;;30;30;20;30;30;30;30;30;30;20;50;10
linha da lola;BRL;90;27%;27%;Alto;100;0,24;0,65;;;;;;90;70;90;70;90;110;90;110;110;110;90;140
loja da lola;BRL;90;-22%;-36%;Alto;100;0,24;0,97;;;;;;90;110;110;90;70;90;70;90;70;90;70;70
santa lolla cosmeticos;BRL;40;-50%;-75%;Alto;100;0,24;0,79;;;;;;30;50;50;40;50;50;50;50;20;20;10;10
linha lola cosmetics;BRL;110;0%;29%;Alto;100;0,24;0,9;;;;;;90;90;90;140;90;110;140;140;70;90;110;90
lola cos;BRL;50;-43%;0%;Alto;97;0,24;0,81;;;;;;30;30;30;40;40;50;70;50;50;70;50;40
lola cosmetics online;BRL;10;0%;-50%;Alto;100;0,35;1,58;;;;;;10;30;10;10;10;10;10;10;10;10;10;10
lola cosmetic;BRL;6600;-19%;0%;Alto;100;0,24;1,49;;;;;;6600;8100;6600;6600;5400;8100;8100;8100;6600;8100;6600;6600
lola perfumaria;BRL;90;0%;-36%;Alto;99;0,25;0,97;;;;;;110;110;90;90;90;90;110;140;70;70;70;70
lola cosmetics loja online;BRL;50;-20%;-20%;Alto;97;0,25;1,31;;;;;;50;70;30;70;50;70;70;40;30;50;30;40
site da lola cosmetics;BRL;110;-35%;0%;Alto;100;0,25;1;;;;;;90;170;110;140;90;110;140;90;110;170;110;110
lola cosmetics manaus;BRL;30;-60%;-33%;Alto;99;0,27;1,24;;;;;;20;20;20;30;50;30;40;50;30;50;40;20
loja lola cosmetics sp;BRL;90;0%;22%;Alto;90;0,24;1,48;;;;;;70;110;140;70;40;40;70;140;70;110;110;110
lola cosmetics cnpj;BRL;40;-25%;0%;Baixo;33;;;;;;;;30;40;20;30;30;40;50;30;30;40;40;30
lola cosmetics fabrica;BRL;40;0%;33%;Alto;80;0,24;2,21;;;;;;50;50;20;40;10;30;30;40;30;40;40;40
cremes lola;BRL;2900;0%;24%;Alto;100;0,25;0,89;;;;;;2900;2900;2900;2900;2400;2900;3600;2900;3600;3600;3600;3600
lola cabelo;BRL;590;0%;0%;Alto;100;0,24;1,36;;;;;;590;590;590;480;480;590;590;480;480;590;590;590
distribuidor lola cosmetics;BRL;20;0%;-33%;Alto;100;0,46;1,74;;;;;;20;20;20;20;20;10;20;30;20;20;30;20
lola cremes;BRL;590;0%;50%;Alto;100;0,24;0,83;;;;;;480;590;480;480;480;590;590;720;720;720;590;720
lola online;BRL;110;-50%;-22%;Alto;99;0,26;1,55;;;;;;110;170;170;170;110;140;90;90;90;140;110;70
revender lola cosmetics;BRL;70;-44%;-29%;Alto;100;0,25;1,28;;;;;;50;50;50;50;40;70;70;90;70;90;90;50
lola loja online;BRL;40;0%;600%;Alto;100;0,24;2,11;;;;;;10;10;10;40;30;30;40;30;50;70;50;70
da lola;BRL;170;0%;24%;Alto;86;0,32;0,86;;;;;;170;110;170;110;90;140;140;140;170;210;210;210
lola cosmetics black friday;BRL;40;0%;0%;Alto;100;;;;;;;;10;390;10;0;10;10;0;0;10;10;10;10
linha de cabelo lola;BRL;40;-57%;-40%;Alto;100;0,24;0,68;;;;;;30;40;50;30;40;40;50;50;50;70;50;30
lola black friday;BRL;20;∞;0%;Alto;100;;;;;;;;10;210;10;0;0;0;0;0;0;0;10;10
loja lola cosmetics rj;BRL;50;80%;80%;Alto;100;0,24;1,32;;;;;;70;30;10;40;70;50;70;70;40;50;70;90
creme cabelo lola;BRL;70;-36%;40%;Alto;100;0,34;1,6;;;;;;50;50;70;40;40;70;50;50;50;110;70;70
shampoo santa lolla;BRL;50;-43%;-20%;Alto;100;0,37;1,11;;;;;;40;40;50;40;40;50;50;70;70;70;40;40
cremes da lola;BRL;1000;-23%;-23%;Alto;100;0,24;0,65;;;;;;880;1000;1000;880;880;1000;1000;1000;1000;1300;1000;1000
lolacosmetic;BRL;60500;-18%;22%;Alto;100;0,24;1,35;;;;;;49500;60500;60500;49500;49500;60500;74000;60500;60500;74000;60500;60500
lola maquiagem;BRL;30;50%;0%;Alto;100;0,25;1,25;;;;;;30;40;50;20;20;20;40;50;20;20;50;30
lola cosmetics loja fisica;BRL;70;-64%;150%;Alto;98;0,24;1,67;;;;;;20;70;40;50;30;10;30;110;70;140;140;50
creme lola cosmetics;BRL;210;-19%;0%;Alto;100;0,26;1,24;;;;;;260;260;260;210;210;260;210;210;170;260;210;210
lola produtos;BRL;480;-19%;-19%;Alto;100;0,24;1,28;;;;;;480;480;480;390;390;480;590;390;390;480;390;390
produtos lola comprar;BRL;50;-75%;-91%;Alto;100;0,65;2,23;;;;;;20;140;140;50;70;50;40;40;40;40;10;10
produtos de cabelo lola;BRL;210;-35%;-19%;Alto;100;0,25;1,12;;;;;;210;210;210;170;210;210;260;210;210;260;170;170
produtos lola cosmetics;BRL;390;-18%;-33%;Alto;100;0,25;1,58;;;;;;480;480;390;390;390;390;480;390;390;390;320;320
lola cosmetics fortaleza;BRL;40;100%;-71%;Alto;100;0,25;0,94;;;;;;70;70;90;70;10;20;30;30;20;10;30;20
produtos lola;BRL;2900;-17%;-17%;Alto;100;0,25;1,58;;;;;;2900;2900;2900;2400;2400;2900;2900;2900;2900;2900;2400;2400
lola cosmetics produtos;BRL;50;-25%;-57%;Alto;100;0,24;0,89;;;;;;70;90;50;40;30;50;40;70;20;40;50;30
marca lola cosmetics;BRL;20;-33%;0%;Alto;100;0,25;0,9;;;;;;10;10;10;10;10;20;20;10;10;30;30;20
creme da lola;BRL;1000;-23%;-23%;Alto;100;0,24;0,65;;;;;;880;1000;1000;880;880;1000;1000;1000;1000;1300;1000;1000
produtos de cabelo da lola;BRL;70;-29%;-29%;Alto;100;0,25;0,87;;;;;;90;50;70;70;70;40;50;90;110;70;70;50
fábrica lola cosmetics rio de janeiro;BRL;110;-21%;57%;Alto;98;0,37;0,96;;;;;;90;110;90;140;70;50;90;140;90;140;110;110
lola comprar;BRL;30;0%;-25%;Alto;100;0,83;2,31;;;;;;40;40;40;40;20;40;30;30;20;30;40;30
lola cosmetics infantil;BRL;70;0%;57%;Alto;100;0,24;1,1;;;;;;50;50;40;50;40;50;110;140;70;110;90;110
santa lolla creme;BRL;50;-36%;133%;Alto;100;0,27;0,91;;;;;;30;50;50;30;40;50;70;40;70;110;70;70
loja com lola;BRL;30;-50%;-50%;Alto;89;;;;;;;;20;40;50;10;20;20;50;50;30;20;30;10
produtos para cabelo lola;BRL;110;56%;27%;Alto;100;0,25;1,36;;;;;;90;90;110;110;90;70;110;90;90;90;110;140
produtos lola para cabelos;BRL;40;-40%;-40%;Alto;100;0,24;0,8;;;;;;40;30;20;20;40;40;110;30;40;50;70;30
creme de cabelo lola;BRL;390;0%;23%;Alto;100;0,26;1,23;;;;;;320;320;480;320;320;320;390;320;480;480;480;480
linha lola para cabelos;BRL;90;-76%;-43%;Alto;100;0,23;1,02;;;;;;110;170;110;20;20;50;50;50;170;170;140;40
lola produtos de cabelo;BRL;70;120%;22%;Alto;100;0,24;1,16;;;;;;70;90;90;50;70;90;70;70;40;50;90;110
comprar lola cosmetics online;BRL;10;0%;0%;Alto;100;;;;;;;;10;30;10;10;10;10;10;10;10;10;10;10
produtos cabelo lola;BRL;50;-57%;0%;Alto;100;0,27;1,98;;;;;;50;50;50;50;40;50;40;40;30;70;50;30
produtos da lola;BRL;880;0%;0%;Alto;100;0,25;0,9;;;;;;880;880;880;720;720;880;1000;720;720;880;720;880
produtos da lola para cabelos;BRL;50;-20%;100%;Alto;100;0,36;1,35;;;;;;30;50;90;30;30;40;30;40;70;50;90;40
produtos da lola cosmetics;BRL;90;-22%;-59%;Alto;100;0,27;0,92;;;;;;90;140;90;70;70;50;140;110;110;90;110;70
