Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
liso leve and solto máscara;BRL;30;0%;-57%;Alto;100;0,44;1,38;;;;;;30;30;40;30;20;20;30;30;30;30;30;30
liso lola cosmetics;BRL;40;33%;-20%;Alto;100;0,26;1,18;;;;;;40;50;50;50;30;50;50;40;30;30;50;40
lola liso leve and solto mascara;BRL;40;-40%;-25%;Alto;100;;;;;;;;40;50;20;50;40;40;40;40;50;50;50;30
mascara liso lola;BRL;40;-40%;0%;Alto;100;0,37;0,92;;;;;;30;50;30;30;20;30;30;40;30;50;40;30
liso leve solto;BRL;40;0%;50%;Alto;100;0,23;1,06;;;;;;30;40;50;30;10;50;50;20;50;30;20;30
lola cosmetics liso;BRL;390;-18%;-33%;Alto;100;0,42;0,99;;;;;;480;480;480;390;390;480;390;480;390;390;390;320
lola cosmetics liso leve e solto;BRL;20;100%;0%;Alto;100;0,39;1,71;;;;;;10;10;30;20;40;20;20;30;10;10;30;20
jelly gel lola meu cacho minha vida;BRL;10;0%;-80%;Alto;100;;;;;;;;10;10;30;10;10;10;10;10;20;10;10;10
lola liso leve;BRL;210;-57%;-57%;Alto;100;0,33;1,41;;;;;;320;320;320;170;170;320;210;140;210;210;140;90
jelly gel meu cacho minha vida;BRL;40;50%;-40%;Alto;100;0,42;1,45;;;;;;30;70;30;30;50;30;40;50;40;20;20;30
mascara lola liso leve e solto;BRL;50;-67%;-89%;Alto;100;;;;;;;;70;50;70;90;50;40;30;50;30;30;30;10
lola cosmetics meu cacho minha vida jelly gel;BRL;20;0%;∞;Alto;100;0,98;1,87;;;;;;10;30;10;20;10;10;20;10;20;20;20;20
condicionador meu cacho minha vida;BRL;70;29%;29%;Alto;100;0,62;1,89;;;;;;50;90;70;90;50;90;50;70;70;70;70;90
