Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
a cosmetica;BRL;170;-18%;-46%;Médio;58;0,57;2,35;;;;;;170;210;260;210;170;170;210;140;170;170;170;140
a cosmeticos;BRL;170;-18%;-46%;Médio;58;0,57;2,35;;;;;;170;210;260;210;170;170;210;140;170;170;170;140
a loja cosmeticos;BRL;70;0%;∞;Alto;88;0,68;2,24;;;;;;0;0;0;0;140;260;140;90;40;40;50;40
anvisa cosmeticos naturais;BRL;20;-50%;-50%;Baixo;27;1,22;3,04;;;;;;20;20;10;10;20;20;20;20;10;20;10;10
brasil cosmeticos;BRL;590;-19%;0%;Alto;100;0,37;1,51;;;;;;590;720;590;480;480;480;590;480;480;590;480;480
care produtos;BRL;40;33%;-43%;Alto;100;0,32;1,09;;;;;;90;90;20;30;30;40;30;40;40;30;40;40
casa cosmetico;BRL;390;-18%;-18%;Médio;51;0,65;1,64;;;;;;390;390;390;390;390;390;320;320;390;390;390;320
casa de cosmetico;BRL;2400;0%;0%;Baixo;26;0,69;1,67;;;;;;2400;2400;2900;1900;1900;1900;1900;1900;1900;2400;2400;2400
casa do cosmetico;BRL;170;55%;-19%;Baixo;29;0,49;1,74;;;;;;260;210;210;210;170;170;170;170;170;110;170;170
cnpj cosmeticos;BRL;20;0%;0%;Baixo;25;0,59;1,06;;;;;;20;20;10;20;10;10;20;20;20;20;20;20
compra de cosmeticos;BRL;20;0%;-60%;Alto;100;1,14;3,19;;;;;;20;30;20;40;10;40;30;20;20;20;20;20
compra de cosméticos online;BRL;30;50%;-25%;Alto;100;1,02;5,63;;;;;;30;30;20;30;20;40;30;40;30;20;10;30
comprar cosmetico online;BRL;140;22%;-35%;Alto;100;1,22;6,81;;;;;;170;170;140;170;90;170;260;110;140;90;110;110
comprar cosmeticos;BRL;390;-19%;-46%;Alto;100;1,31;5,88;;;;;;390;390;320;390;320;480;390;320;320;320;320;260
comprar cosmeticos para revenda;BRL;40;0%;-25%;Alto;100;0,66;1,67;;;;;;30;30;30;50;40;50;30;40;30;30;30;30
comprar cosméticos para revender;BRL;40;0%;-25%;Alto;100;0,66;1,67;;;;;;30;30;30;50;40;50;30;40;30;30;30;30
comprar produtos da natura;BRL;50;-20%;-43%;Alto;100;0,37;5;;;;;;70;90;70;50;40;40;40;70;40;50;50;40
comprar produtos natura;BRL;110;-18%;-18%;Alto;100;0,49;4,37;;;;;;140;110;90;90;110;170;110;110;90;110;70;90
comprar produtos natura online;BRL;30;0%;-71%;Alto;100;0,5;6,11;;;;;;40;50;40;30;20;40;40;40;20;20;40;20
comprar skincare;BRL;110;-55%;-64%;Alto;100;1,38;8,54;;;;;;70;90;70;260;90;140;140;70;110;110;70;50
cosmetic brasil;BRL;590;0%;22%;Alto;77;0,42;1,86;;;;;;590;720;590;480;390;480;590;720;720;720;880;720
cosmetic online;BRL;140;89%;-19%;Alto;95;0,58;2,29;;;;;;170;260;140;110;170;210;170;140;110;90;90;170
cosmetica curitiba;BRL;1600;0%;-32%;Médio;49;0,71;2,36;;;;;;1600;1300;1900;1600;1300;1900;1600;1600;1600;1300;1600;1300
cosmetica do brasil;BRL;70;22%;1000%;Alto;100;0,38;2,15;;;;;;10;20;10;70;20;20;110;210;110;90;90;110
cosmetico artesanal;BRL;1000;-45%;0%;Alto;100;0,77;1,58;;;;;;720;880;720;720;1000;1900;1600;1600;1300;1300;880;720
cosmetico brasil;BRL;590;0%;22%;Alto;77;0,42;1,86;;;;;;590;720;590;480;390;480;590;720;720;720;880;720
cosmetico cabelo;BRL;260;-19%;-47%;Alto;100;0,8;2,55;;;;;;390;320;260;260;260;260;210;210;170;210;170;170
cosmetico centro;BRL;140;-36%;-47%;Baixo;23;0,81;2,36;;;;;;140;140;140;90;110;90;140;110;140;140;140;90
cosmetico curitiba;BRL;1600;0%;-32%;Médio;49;0,71;2,36;;;;;;1600;1300;1900;1600;1300;1900;1600;1600;1600;1300;1600;1300
cosmetico facial;BRL;140;21%;0%;Alto;100;0,73;2,2;;;;;;170;140;90;140;110;170;140;140;170;140;170;170
cosmetico logo;BRL;720;-18%;-18%;Baixo;1;0,48;2,36;;;;;;720;720;590;720;590;720;880;720;720;720;720;590
cosmetico loja;BRL;390;0%;0%;Alto;88;0,95;3,31;;;;;;480;390;390;320;320;390;390;320;390;390;390;390
cosmetico natural;BRL;590;22%;0%;Alto;100;0,96;2,43;;;;;;720;720;480;590;480;720;720;720;480;590;590;720
cosmetico online;BRL;1300;-18%;-62%;Alto;100;0,96;4,77;;;;;;1600;1600;1300;1300;1000;1600;1600;1000;880;880;720;720
cosmetico vegano;BRL;2900;0%;0%;Alto;100;0,85;2,26;;;;;;2900;2400;1900;1900;1900;2400;4400;3600;2900;2400;2400;2400
cosmeticos;BRL;33100;0%;0%;Alto;100;0,9;3,45;;;;;;33100;33100;33100;33100;27100;33100;40500;33100;33100;33100;33100;33100
cosmeticos a preço de fabrica;BRL;20;0%;-50%;Alto;100;0,47;1,33;;;;;;20;20;20;30;30;10;30;20;10;10;20;10
cosmeticos artesanais;BRL;590;-56%;-33%;Alto;100;0,78;1,58;;;;;;320;320;260;390;590;1000;880;880;880;720;390;320
cosmeticos em curitiba;BRL;140;91%;24%;Médio;41;0,6;1,3;;;;;;210;210;170;110;90;210;210;110;90;110;110;210
cosmeticos em sao paulo;BRL;30;0%;0%;Alto;88;0,82;1,79;;;;;;30;50;20;30;40;30;30;20;30;30;40;30
cosmeticos empresas;BRL;30;400%;150%;Baixo;31;0,77;2,01;;;;;;20;10;10;20;30;50;10;20;10;10;70;50
cosmeticos fabrica;BRL;70;-82%;-78%;Alto;95;0,66;1,88;;;;;;10;50;70;90;50;70;50;40;90;110;170;20
cosmeticos loja online;BRL;40;-50%;-86%;Alto;100;0,77;3,92;;;;;;50;40;40;40;40;50;50;50;40;20;20;10
cosmeticos londrina;BRL;170;0%;-19%;Médio;47;0,57;2,15;;;;;;210;210;260;170;110;210;210;110;170;170;210;170
cosmeticos marcas;BRL;390;-18%;-18%;Alto;100;0,53;2,47;;;;;;390;390;320;320;320;390;480;390;320;390;390;320
cosmeticos naturais;BRL;5400;0%;-18%;Alto;100;0,92;2,26;;;;;;6600;6600;5400;5400;5400;6600;6600;6600;6600;5400;5400;5400
cosmeticos naturais artesanal;BRL;20;100%;-60%;Alto;100;0,82;2,06;;;;;;30;20;10;20;20;20;30;30;30;10;10;20
cosmeticos naturais curitiba;BRL;50;0%;0%;Alto;100;0,85;2,11;;;;;;40;70;50;90;50;40;70;50;40;50;70;50
cosmeticos naturais e veganos;BRL;110;29%;-36%;Alto;100;0,9;2,29;;;;;;110;170;70;140;170;90;140;110;110;70;110;90
cosmeticos naturais em curitiba;BRL;30;-67%;-75%;Alto;100;0,92;2,07;;;;;;40;20;30;30;20;30;20;40;30;30;10;10
cosmeticos naturais organicos e veganos;BRL;90;-36%;75%;Alto;100;0,91;2,29;;;;;;50;70;90;70;70;110;110;110;90;110;50;70
cosmeticos naturais para vender;BRL;30;67%;150%;Alto;100;0,8;2,09;;;;;;10;10;20;20;20;40;50;40;50;30;50;50
cosmeticos naturais revenda;BRL;20;100%;0%;Alto;100;0,76;2,32;;;;;;30;20;10;30;30;20;20;20;30;10;20;20
cosmeticos naturais sao paulo;BRL;30;200%;-25%;Alto;100;0,91;4,4;;;;;;20;50;30;10;20;10;20;90;30;10;10;30
cosmeticos naturais veganos;BRL;50;25%;25%;Alto;100;0,93;2,12;;;;;;50;40;40;50;40;50;70;40;70;40;50;50
cosmeticos no brasil;BRL;50;75%;0%;Alto;81;0,49;10,91;;;;;;70;40;40;30;40;50;50;70;70;40;50;70
cosmeticos on line;BRL;1300;-18%;-62%;Alto;100;0,96;4,77;;;;;;1600;1600;1300;1300;1000;1600;1600;1000;880;880;720;720
cosmeticos organicos;BRL;590;22%;0%;Alto;100;0,87;2,96;;;;;;720;880;590;590;390;720;880;720;720;590;590;720
cosmeticos organicos marcas;BRL;30;0%;0%;Alto;100;0,73;2,11;;;;;;30;30;40;20;20;30;10;30;20;30;50;30
cosmeticos organicos veganos e naturais;BRL;20;50%;200%;Alto;100;0,85;2,68;;;;;;20;10;10;20;30;20;10;10;20;20;20;30
cosmeticos orgânicos;BRL;320;-19%;-46%;Alto;100;0,73;2,17;;;;;;390;390;260;320;260;320;480;390;320;320;320;260
cosmeticos sao paulo;BRL;90;-76%;0%;Alto;100;0,78;2,05;;;;;;90;50;70;50;70;110;260;90;50;170;70;40
cosmeticos site;BRL;50;75%;0%;Alto;100;0,95;3,02;;;;;;30;50;40;40;40;40;70;70;50;40;70;70
cosmeticos skin;BRL;10;0%;0%;Alto;100;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
cosmeticos skincare;BRL;40;150%;0%;Alto;100;0,84;2,68;;;;;;50;30;30;40;20;90;70;30;40;20;30;50
cosmeticos veganos naturais;BRL;40;125%;800%;Alto;100;0,92;2,28;;;;;;20;20;30;20;30;90;30;30;20;40;30;90
