Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
oshadhi oleo essencial;BRL;70;57%;57%;Alto;100;0,74;19,36;;;;;;70;20;20;70;90;50;70;70;50;70;90;110
oshadhi óleos essenciais;BRL;170;-33%;-18%;Alto;100;0,75;18,92;;;;;;110;320;320;170;170;110;140;140;140;210;210;140
oleo essencial oshadhi;BRL;140;0%;-18%;Alto;100;0,62;18,8;;;;;;140;170;110;140;170;170;170;170;140;140;140;140
oshadhi oleos;BRL;30;400%;0%;Alto;100;0,63;25,1;;;;;;30;20;10;10;20;20;50;90;30;10;40;50
oleos essenciais oshadhi;BRL;70;40%;-22%;Alto;100;0,65;18,4;;;;;;110;70;40;50;70;90;90;70;70;50;70;70
oshadhi lavanda;BRL;50;0%;-57%;Alto;100;0,4;1,16;;;;;;40;50;30;50;40;70;50;50;70;30;30;30
oshadhi hidrolatos;BRL;70;40%;75%;Alto;100;0,6;26,99;;;;;;40;70;50;70;170;50;70;110;50;50;50;70
oshadhi é bom;BRL;20;0%;-75%;Alto;100;1,92;33,96;;;;;;30;30;20;20;30;20;20;20;10;10;10;10
hidrolato oshadhi;BRL;40;-60%;-60%;Alto;100;0,76;18,61;;;;;;30;20;30;30;70;40;20;40;40;50;40;20
óleos essenciais importados;BRL;90;40%;-50%;Alto;100;0,58;2,02;;;;;;110;110;110;110;90;110;70;70;50;50;90;70
oshadhi reclame aqui;BRL;40;-33%;-60%;Médio;55;1,04;3,62;;;;;;40;50;40;50;40;20;30;20;20;30;50;20
óleo essencial para;BRL;110;-21%;0%;Alto;98;0,52;4,83;;;;;;90;90;110;110;90;110;110;140;110;140;140;110
quais os óleos essenciais;BRL;40;33%;0%;Alto;100;0,31;0,89;;;;;;30;40;40;40;50;50;30;40;50;30;40;40
óleo essencial;BRL;60500;0%;-18%;Alto;100;0,51;1,3;;;;;;49500;49500;49500;49500;49500;60500;60500;60500;60500;49500;60500;49500
