Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
quintal marca;BRL;40;-20%;0%;Alto;100;0,28;1,42;;;;;;30;50;40;30;20;20;50;50;30;50;40;40
quintal pele;BRL;20;0%;0%;Alto;100;0,3;2,46;;;;;;20;30;10;20;30;30;10;10;10;10;10;10
kit skin care quintal;BRL;10;0%;0%;Alto;100;;;;;;;;10;10;10;10;10;10;10;30;10;10;0;10
quintal dermo;BRL;40;50%;-40%;Alto;100;0,73;4,43;;;;;;30;70;20;40;30;40;50;40;20;20;30;30
quintal produtos;BRL;110;-22%;-59%;Alto;100;0,61;6,52;;;;;;140;140;110;90;90;110;140;90;70;90;50;70
quintal cosmeticos;BRL;1900;19%;-47%;Alto;100;0,96;9,14;;;;;;2400;3600;1900;1900;1600;1900;2400;2400;1600;1600;1600;1900
cosméticos quintal;BRL;50;-25%;-67%;Alto;100;0,78;12,39;;;;;;70;50;50;40;30;50;50;50;40;40;40;30
quintal skincare;BRL;110;-21%;22%;Alto;100;0,55;7,87;;;;;;90;90;70;110;90;140;170;170;90;140;140;110
quintal terra de cores;BRL;210;21%;-47%;Alto;100;0,26;1,44;;;;;;210;210;210;320;170;170;260;210;90;140;210;170
quintal dermocosmeticos;BRL;1600;23%;-33%;Alto;100;1,09;10,17;;;;;;1900;2900;1600;1300;1000;1600;1900;1900;1300;1300;1300;1600
produtos quintal;BRL;140;-47%;-72%;Alto;100;0,63;5,46;;;;;;210;210;170;210;110;140;210;170;110;170;90;90
marca quintal;BRL;50;-20%;-43%;Alto;100;0,61;5,31;;;;;;70;90;50;50;40;40;90;70;50;50;50;40
quintalcosmeticos;BRL;1900;19%;-47%;Alto;100;0,96;9,14;;;;;;2400;3600;1900;1900;1600;1900;2400;2400;1600;1600;1600;1900
quintal dermocosméticos;BRL;1600;23%;-33%;Alto;100;1,09;10,17;;;;;;1900;2900;1600;1300;1000;1600;1900;1900;1300;1300;1300;1600
quintal maquiagem;BRL;30;-25%;50%;Alto;100;0,36;1,14;;;;;;10;20;20;20;20;20;50;30;30;40;20;30
quintal tratamento;BRL;10;0%;-67%;Alto;100;0,49;5,43;;;;;;20;20;20;20;10;10;10;10;10;10;10;10
kit quintal cosmeticos;BRL;30;0%;-67%;Alto;100;;;;;;;;20;170;40;20;10;10;20;40;20;10;20;10
quintal mascaras;BRL;170;-21%;-48%;Alto;100;0,42;2,6;;;;;;210;320;170;210;140;170;210;170;140;140;110;110
quintal da terra;BRL;30;33%;-20%;Médio;38;0,54;1;;;;;;30;40;30;20;30;20;20;20;20;30;20;40
creme quintal;BRL;30;-50%;-33%;Alto;100;0,44;3,87;;;;;;30;30;20;20;20;20;10;30;30;40;40;20
hidratante facial quintal;BRL;40;-71%;-60%;Alto;100;0,53;2,62;;;;;;50;40;40;30;30;40;70;50;40;70;40;20
mascara facial quintal;BRL;170;-36%;-65%;Alto;100;0,26;1,56;;;;;;170;260;170;260;110;210;140;110;90;140;110;90
mascara quintal;BRL;590;0%;-33%;Alto;100;0,36;3,01;;;;;;590;880;720;720;480;590;720;480;320;480;320;480
quintal cosméticos amostra grátis;BRL;30;33%;-20%;Alto;94;0,32;2,84;;;;;;40;30;30;20;20;20;30;20;20;30;40;40
