Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
simple vitamina c;BRL;20;-50%;0%;Alto;100;0,6;3,28;;;;;;10;10;10;20;10;30;20;20;20;20;20;10
simple organic retinol;BRL;50;-29%;150%;Alto;100;1,31;7,12;;;;;;20;50;30;30;30;70;70;50;50;70;70;50
retinol simple organic;BRL;90;0%;100%;Alto;100;1,34;5,45;;;;;;40;70;50;70;70;90;90;90;140;140;140;140
simple organic rosa mosqueta;BRL;40;-40%;-25%;Alto;100;1,2;5,64;;;;;;20;30;10;40;30;40;40;40;30;50;50;30
niacinamida simple organic;BRL;590;22%;126%;Alto;100;1,18;3,17;;;;;;260;390;320;390;390;720;590;390;480;720;720;880
solução niacinamida simple organic;BRL;50;0%;∞;Alto;100;1,11;3,81;;;;;;0;0;0;0;0;70;170;70;40;70;70;70
simpleorganic;BRL;22200;0%;83%;Alto;100;0,89;3,42;;;;;;12100;22200;18100;14800;12100;22200;27100;27100;22200;27100;27100;27100
simple organic brasil;BRL;30;50%;50%;Alto;100;1,02;4,45;;;;;;10;10;20;20;10;20;20;40;110;20;40;30
simple organic niacinamida;BRL;320;-19%;50%;Alto;100;1,42;3,61;;;;;;170;320;210;210;170;390;390;320;320;590;480;480
produtos simple organic;BRL;70;-18%;0%;Alto;100;0,46;1,97;;;;;;30;70;50;30;20;70;70;50;70;110;70;90
cb2 simple organic;BRL;170;-35%;∞;Alto;100;1,42;3,77;;;;;;0;140;110;170;140;260;390;260;170;170;170;110
maquiagem simple organic;BRL;40;-20%;100%;Alto;100;0,94;4,64;;;;;;30;40;30;20;40;30;50;50;50;50;40;40
