Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
souvie lojas;BRL;30;-67%;-80%;Alto;100;;;;;;;;70;50;10;10;10;10;30;30;30;30;30;10
souvie itupeva;BRL;30;-25%;50%;Alto;73;0,42;2,56;;;;;;10;40;20;20;20;20;40;30;30;40;50;30
souvie gestante;BRL;30;-60%;-33%;Alto;100;0,7;5,8;;;;;;20;30;20;20;20;30;30;40;40;50;40;20
souvie shampoo;BRL;30;33%;300%;Alto;100;0,92;4,22;;;;;;30;10;20;10;10;20;10;50;40;30;30;40
shampoo souvie;BRL;30;0%;50%;Alto;100;1,02;4,16;;;;;;20;20;20;30;20;30;30;40;20;30;20;30
desodorante souvie;BRL;170;0%;143%;Alto;100;0,86;4,33;;;;;;90;170;110;210;210;170;210;170;260;170;260;170
souvie desodorante;BRL;140;0%;240%;Alto;100;0,88;5,25;;;;;;50;70;90;110;170;170;210;140;210;170;170;170
souvie materna;BRL;70;0%;200%;Alto;100;0,69;8,69;;;;;;70;50;50;70;70;70;90;90;90;90;110;90
souvie resenha;BRL;20;0%;0%;Alto;100;0,76;4,16;;;;;;40;10;10;20;10;20;30;20;20;10;10;10
souvie serum clareador;BRL;20;0%;-60%;Alto;100;0,42;1,94;;;;;;30;20;20;10;20;10;20;30;30;20;10;20
produtos orgânicos para cabelo;BRL;210;-19%;0%;Alto;100;0,54;1,04;;;;;;170;210;210;170;170;210;210;210;260;260;260;210
produto orgânico para cabelo;BRL;110;57%;-21%;Alto;100;0,51;0,79;;;;;;140;140;140;110;50;90;140;70;170;70;90;110
linha orgânica para cabelos;BRL;50;-71%;-78%;Alto;100;0,66;1,48;;;;;;90;90;70;90;40;50;50;40;50;70;20;20
cremes organicos;BRL;20;-20%;300%;Alto;100;0,39;1,44;;;;;;10;20;20;10;10;10;20;30;20;50;20;40
shampoo e condicionador orgânico;BRL;140;0%;0%;Alto;99;0,64;1,82;;;;;;110;170;140;170;140;110;210;140;140;140;110;140
shampoo organico natural;BRL;210;-56%;27%;Alto;100;0,84;3,57;;;;;;140;140;140;170;140;260;320;320;320;320;210;140
shampoo orgânico;BRL;480;0%;-19%;Alto;100;0,6;2,17;;;;;;480;390;480;480;390;480;480;590;480;480;480;480
souvie locao redutora de bolsa dos olhos;BRL;30;-50%;∞;Alto;100;0,43;2,12;;;;;;40;40;40;20;20;70;40;20;20;20;10;10
xampu organico;BRL;30;-50%;-67%;Alto;100;0,64;2,13;;;;;;40;30;40;40;50;30;40;50;10;20;10;10
organica shampoo;BRL;40;50%;0%;Alto;100;0,89;4,85;;;;;;50;40;50;50;30;30;40;30;30;20;40;30
shampoo organico;BRL;1300;0%;-19%;Alto;100;0,62;1,97;;;;;;1600;1300;1300;1300;1000;1300;1300;1300;1300;1300;1300;1300
organico shampoo;BRL;10;0%;-50%;Alto;100;0,6;2,31;;;;;;10;10;10;20;10;10;20;10;10;10;10;10
creme organico;BRL;70;-22%;-36%;Alto;100;0,76;2,45;;;;;;70;70;110;70;70;90;70;70;90;90;70;70
serum diurno;BRL;40;0%;0%;Alto;100;0,95;2,51;;;;;;30;50;50;30;20;30;70;30;40;50;90;50
shampoo organico e vegano;BRL;20;0%;-80%;Alto;100;1,28;2,75;;;;;;70;70;20;10;10;10;10;10;10;10;10;10
shampoo orgânico marcas;BRL;70;-20%;-71%;Alto;100;0,43;1,36;;;;;;90;70;70;90;90;90;70;90;50;50;50;40
shampoo organico vegano;BRL;30;-50%;-75%;Alto;100;0,75;2,54;;;;;;40;30;30;40;40;40;30;40;30;20;20;10
condicionador organico;BRL;70;-22%;40%;Alto;100;0,49;1,48;;;;;;70;70;90;70;90;70;70;90;50;90;70;70
shampoo e condicionador natural;BRL;260;-34%;-34%;Alto;100;0,74;2,3;;;;;;320;260;260;320;260;390;320;320;260;320;210;210
produtos de cabelo natural;BRL;70;-44%;-29%;Alto;100;0,55;1,16;;;;;;50;70;50;50;70;70;90;50;90;90;90;50
shampoo organica;BRL;480;0%;-19%;Alto;100;0,6;2,17;;;;;;480;390;480;480;390;480;480;590;480;480;480;480
shampoo para cabelos naturais;BRL;40;-20%;-20%;Alto;100;0,81;5,77;;;;;;50;30;20;40;40;30;50;50;50;50;50;40
produtos para cabelo natural;BRL;40;-40%;-25%;Alto;100;0,48;1,47;;;;;;40;40;90;40;30;50;30;40;30;50;30;30
serumfacial;BRL;2400;50%;89%;Alto;100;1,59;2,42;;;;;;1900;1900;1900;1900;1600;1900;2400;2400;2400;2400;2400;3600
produtos para cabelos orgânicos;BRL;90;-22%;-36%;Alto;100;0,38;0,9;;;;;;140;140;170;90;70;70;70;70;70;90;70;70
cosméticos para bebê;BRL;90;22%;57%;Alto;100;0,49;2,24;;;;;;50;70;40;70;70;110;90;50;110;90;110;110
sabonete líquido hidratante para as mãos;BRL;40;-67%;-25%;Alto;100;1,7;3,12;;;;;;30;30;20;30;30;50;50;50;40;90;50;30
hidratante corporal;BRL;14800;-18%;0%;Alto;100;2,05;8,8;;;;;;12100;14800;14800;12100;12100;14800;18100;18100;14800;18100;18100;14800
hidratantes organicos;BRL;20;0%;-50%;Alto;100;;;;;;;;20;10;20;10;30;10;10;20;10;10;30;10
hidratante corporal organico;BRL;110;-21%;-35%;Alto;100;1,08;2,83;;;;;;170;140;90;110;90;90;140;110;110;140;110;110
creme hidratante facial noturno;BRL;30;0%;33%;Alto;100;2,17;2,63;;;;;;30;10;30;40;10;40;40;40;40;40;30;40
loção corporal hidratante;BRL;20;-67%;0%;Alto;100;2,05;5,77;;;;;;10;20;20;20;20;20;20;20;20;30;40;10
creme hidratante noturno;BRL;110;-36%;-36%;Alto;100;1,16;3,07;;;;;;70;110;70;90;70;110;140;110;140;140;140;90
hidratante noturno;BRL;1900;-17%;85%;Alto;100;0,93;2,27;;;;;;1000;1000;1000;880;880;1300;2400;2900;2400;2900;3600;2400
sabonete líquido hidratante;BRL;480;-33%;-33%;Alto;100;0,87;3,96;;;;;;390;590;390;390;390;480;590;590;590;720;720;480
hidratante corporal orgânico;BRL;110;-21%;-35%;Alto;100;1,08;2,83;;;;;;170;140;90;110;90;90;140;110;110;140;110;110
hidratante orgânico;BRL;140;0%;-33%;Alto;100;0,77;2,75;;;;;;210;210;170;110;110;140;110;140;140;140;140;140
